Temp,Carbon,Rep,rf
12,Ara,R1,0.233690658499234
12,Ara,R2,0.501865671641791
12,Ara,R3,0.553285796878011
12,Ara,R4,0.975
12,Fru,R1,1.11210057621792
12,Fru,R2,0.951585572500605
12,Fru,R3,0.768150910287344
12,Fru,R4,0.591393604421635
12,Fuc,R1,0.455908926635345
12,Fuc,R2,205.769230769231
12,Fuc,R3,10.9098966026588
12,Fuc,R4,5.98008658008658
12,Gal,R1,0.821549582109781
12,Gal,R2,0.533954727030626
12,Gal,R3,2.53839403247038
12,Gal,R4,1.8205666316894
12,Glu,R1,0.735686612139475
12,Glu,R2,0.248180832946277
12,Glu,R3,1.09291461199066
12,Glu,R4,1.25125628140704
12,Gly,R1,13.3487544483986
12,Gly,R2,6.92141453831041
12,Gly,R3,3.74911660777385
12,Gly,R4,1.14012738853503
12,Gol,R1,0.371895202449813
12,Gol,R2,1.19428571428571
12,Gol,R3,1.28960817717206
12,Gol,R4,0.344672336168084
12,H2O,R1,0.848658564549415
12,H2O,R2,2.07396111322913
12,H2O,R3,0.800982800982801
12,H2O,R4,0.858921161825726
12,Lac,R1,1.2863623476042
12,Lac,R2,1.14925373134328
12,Lac,R3,117.588235294118
12,Lac,R4,1.47787338660111
12,Mal,R1,0.276281635301752
12,Mal,R2,0.418098105188596
12,Mal,R3,0.506826257714606
12,Mal,R4,0.522831050228311
12,Man,R1,2.37589248215036
12,Man,R2,4.08580441640379
12,Man,R3,1.64615896242102
12,Man,R4,2.11471610660487
12,Mel,R1,0.135032385243593
12,Mel,R2,0.137697516930023
12,Mel,R3,0.180846390393908
12,Mel,R4,0.385633270321361
12,Mol,R1,0.325332894953148
12,Mol,R2,1.46695226438188
12,Mol,R3,0.661310259579728
12,Mol,R4,0.385567010309278
12,Rha,R1,1.64912857612627
12,Rha,R2,1.34928508899912
12,Rha,R3,1.32057553956835
12,Rha,R4,1.14186851211073
12,Rib,R1,0.142492194152711
12,Rib,R2,0.183098591549296
12,Rib,R3,0.143364592213697
12,Rib,R4,0.115517958674248
12,Sol,R1,0.285509325681492
12,Sol,R2,0.282442748091603
12,Sol,R3,0.303378050751576
12,Sol,R4,2.06152677554121
12,Suc,R1,0.156648974322192
12,Suc,R2,0.367474987281669
12,Suc,R3,0.186231244483672
12,Suc,R4,0.200834948561205
22,Ara,R1,0.000622587473540032
22,Ara,R2,0.406578026592022
22,Ara,R3,0.00362635988495686
22,Ara,R4,0.00939614131796542
22,Fru,R1,0.0483072916666667
22,Fru,R2,0.00903387703889586
22,Fru,R3,0.000621581302834411
22,Fru,R4,0.00751691305437234
22,Fuc,R1,16.2558823529412
22,Fuc,R2,32.3112033195021
22,Fuc,R3,39.3786982248521
22,Fuc,R4,17.1173594132029
22,Gal,R1,0.00801001251564456
22,Gal,R2,0.0472533194480604
22,Gal,R3,0.00037262451869333
22,Gal,R4,0.029535864978903
22,Glu,R1,0.00927318295739348
22,Glu,R2,0.00789473684210526
22,Glu,R3,0.00136901057871811
22,Glu,R4,0.00174107698047507
22,Gly,R1,0.0137262309532804
22,Gly,R2,0.0430274753758424
22,Gly,R3,2.08655687476063
22,Gly,R4,0.0331838565022422
22,Gol,R1,0.0106757096206983
22,Gol,R2,0.0633112582781457
22,Gol,R3,0.789380137747167
22,Gol,R4,0.133399209486166
22,H2O,R1,1.02006018054163
22,H2O,R2,2.90792974986695
22,H2O,R3,0.184858867678251
22,H2O,R4,6.87413962635202
22,Lac,R1,0.00349083655404563
22,Lac,R2,0.00299625468164794
22,Lac,R3,0.0394107765861222
22,Lac,R4,0.0299156226029149
22,Mal,R1,0.00136849962677283
22,Mal,R2,0.00112289457267623
22,Mal,R3,0.0213414634146341
22,Mal,R4,0.000869349230004968
22,Man,R1,0.00513141426783479
22,Man,R2,0.000997381872584466
22,Man,R3,0.0368794326241135
22,Man,R4,0.006241418050181
22,Mel,R1,0.0114508619604882
22,Mel,R2,0.000622277535780958
22,Mel,R3,0.000372809742761278
22,Mel,R4,0.00186358553857622
22,Mol,R1,0.00112191473448018
22,Mol,R2,2.45040790038643
22,Mol,R3,0.0113207547169811
22,Mol,R4,0.00174086048246705
22,Rha,R1,0.0987317605345697
22,Rha,R2,0.159856115107914
22,Rha,R3,0.0508209538702111
22,Rha,R4,0.0308065959350633
22,Rib,R1,0.0014960728088767
