"","well","SangerID","carbon","temperature","color","tmp","Acetate","Lactate","CorrectedOD","CellNperML","Cacid","Tmatches","glucose","glucose_consumption","Cglucose_consumption","Cglucose_consumption_percell","Cacid_percell","acid_glu_ratio","acid_glu_ratio_per_cell"
"1","A2","894","Glu",12,"blue",12,2.253708798,0,0.09808125,2653048772,4.507417596,"Yes",0.174243639,0.533243897973684,52.7600429794516,1.98865710786306e-11,1.6989576835416e-12,0.0854324094799449,0.0854324094799449
"2","A3","898","Gal",12,"blue",12,1.286691764,0,0.07428125,2009270672,2.573383527,"Yes",0.149076257,0.558411279973684,55.2501458405363,2.74976122482996e-11,1.28075503358564e-12,0.0465769544650132,0.0465769544650132
"3","A4","900","Glu",42,"blue",12,0.319674729,0,0.00218125,59001721.88,0.639349459,"No",0.162808978,0.544678558973684,53.8914074603354,9.13387029109791e-10,1.08361152628788e-11,0.0118636623003503,0.0118636623003503
"4","A5","904","Gal",42,"blue",12,0.737073503,0,0.00488125,132035371.9,1.474147006,"No",0.15548265,0.552004886973684,54.6162866040638,4.13648901942948e-10,1.11647885319434e-11,0.026990978289804,0.026990978289804
"5","A6","916","Glu",37,"blue",12,1.408541095,0,0.02248125,608106571.9,2.81708219,"No",0.170350787,0.537136749973684,53.1452082661301,8.73945632590032e-11,4.63254685966994e-12,0.0530072659776432,0.0530072659776432
"6","A7","920","Gal",37,"blue",12,1.491502342,0,0.01538125,416055121.9,2.983004684,"No",0.167254738,0.540232798973684,53.4515365315397,1.28472247348963e-10,7.16973431399547e-12,0.0558076507723935,0.0558076507723935
"7","A8","932","Glu",30,"blue",12,0,0,0.01438125,389005621.9,0,"No",0.162227655,0.545259881973684,53.9489245300693,1.38684177021837e-10,0,0,0
"8","A9","936","Gal",30,"blue",12,0.563373392,0,0.11258125,3045266522,1.126746784,"No",0.162912772,0.544574764973684,53.8811379084065,1.76934063140784e-11,3.69999399349782e-13,0.0209117109945855,0.0209117109945855
"9","A10","945","Glu",22,"blue",12,1.128546887,0,0.08498125,2298700322,2.257093774,"No",0.146082818,0.561404718973684,55.5463217009569,2.41642293122526e-11,9.81899968603215e-13,0.040634441757484,0.040634441757484
"10","A11","947","Gal",22,"blue",12,1.29706192,0,0.10978125,2969527922,2.594123839,"No",0.163648009,0.543839527973684,53.8083923301308,1.81201839967514e-11,8.7358122473987e-13,0.0482103948225077,0.0482103948225077
"11","B2","895","Glu",12,"blue",12,1.512242654,0,0.06238125,1687381622,3.024485308,"Yes",0.143600059,0.563887477973684,55.7919700281959,3.3064227617975e-11,1.79241332758808e-12,0.0542100468306013,0.0542100468306013
"12","B3","899","Gal",12,"blue",12,2.803327059,0,0.10208125,2761246772,5.606654118,"Yes",0.158314281,0.549173255973684,54.3361202977457,1.96781109347896e-11,2.03047919325915e-12,0.103184660356264,0.103184660356264
"13","B4","901","Glu",42,"blue",12,1.724830849,0.154987385,0.03178125,859666921.9,3.914623852,"No",0.152285176,0.555202360973684,54.9326500285806,6.38999228994071e-11,4.55365182988321e-12,0.0712622429459216,0.0712622429459216
"14","B5","905","Gal",42,"blue",12,1.657424836,0,0.04538125,1227540122,3.314849672,"No",0.154703448,0.552784088973684,54.6933821529597,4.45552704736438e-11,2.7004002660208e-12,0.0606078750575241,0.0606078750575241
"15","B6","917","Glu",37,"blue",12,1.17002751,0,0.02128125,575647171.9,2.340055021,"No",0.153889043,0.553598493973684,54.7739607455436,9.51519670716958e-11,4.06508558580482e-12,0.0427220341408374,0.0427220341408374
"16","B7","921","Gal",37,"blue",12,2.352225279,0,0.05718125,1546724222,4.704450558,"No",0.157659948,0.549827588973684,54.4008610989701,3.51716617126658e-11,3.04155743544049e-12,0.0864775016969182,0.0864775016969182
"17","B8","933","Glu",30,"blue",12,0.864107912,0,0.00228125,61706671.88,1.728215824,"No",0.128376341,0.579111195973684,57.2982301448877,9.28558102376914e-10,2.80069524307004e-11,0.0301617662470539,0.0301617662470539
"18","B9","937","Gal",30,"blue",12,0.923736308,0,0.01848125,499908571.9,1.847472617,"No",0.148082759,0.559404777973684,55.3484441940275,1.10717133702399e-10,3.69562100121292e-12,0.0333789439595369,0.0333789439595369
"19","B10","946","Glu",22,"blue",12,0.985957244,0,0.06248125,1690086572,1.971914487,"No",0.150841379,0.556646157973684,55.0755017181416,3.25873849485514e-11,1.16675353775901e-12,0.0358038406457305,0.0358038406457305
"20","B11","948","Gal",22,"blue",12,1.009290094,0,0.06858125,1855088522,2.018580189,"No",0.150753135,0.556734401973684,55.0842327270671,2.9693587165145e-11,1.08813146384181e-12,0.0366453354992112,0.0366453354992112
"21","C9","938","Gal",30,"blue",12,1.252988757,0,0.04508125,1219425272,2.505977514,"No",0.150710907,0.556776629973684,55.0884108360026,4.51757168732867e-11,2.05504803905688e-12,0.0454901035620769,0.0454901035620769
"22","D2","897","Rib",12,"blue",12,3.594051444,0,0.10258125,2774771522,7.188102888,"Yes",0.139218233,0.568269303973684,56.2255152201183,2.02631152778994e-11,2.59052063602662e-12,0.127844144421962,0.127844144421962
"25","E2","892","Fru",12,"blue",12,2.282226727,0,0.06628125,1792874672,4.564453454,"Yes",0.159203433,0.548284103973684,54.2481461119865,3.0257634267024e-11,2.54588540140858e-12,0.0841402661867453,0.0841402661867453
"26","E3","896","Rib",12,"blue",12,2.131859467,0,0.09298125,2515096322,4.263718934,"Yes",0.149737931,0.557749605973684,55.1846787084959,2.19413778413914e-11,1.69525075310416e-12,0.0772627300508969,0.0772627300508969
"27","E4","908","Fru",42,"blue",12,1.590018823,0,0.02928125,792043171.9,3.180037646,"No",0.155616043,0.551871493973684,54.6030884775781,6.89395356399488e-11,4.01498019151095e-12,0.0582391534007427,0.0582391534007427
"28","E5","912","Rib",42,"blue",12,1.460391874,0,0.01958125,529663021.9,2.920783749,"No",0.139481466,0.568006070973684,56.1994705069085,1.06104198675812e-10,5.51441884412207e-12,0.0519717307415015,0.0519717307415014
"29","E6","924","Fru",37,"blue",12,1.87260557,0,0.04838125,1308688622,3.74521114,"No",0.156157506,0.551330030973684,54.5495152228998,4.16825777391834e-11,2.86180461649952e-12,0.0686570930043346,0.0686570930043346
"30","E7","928","Rib",37,"blue",12,1.960751895,0,0.04148125,1122047072,3.92150379,"No",0.16227896,0.545208576973684,53.9438483275748,4.80762792165415e-11,3.49495479098759e-12,0.0726960332193323,0.0726960332193323
"31","E8","940","Fru",30,"blue",12,0.921143769,0,0.02428125,656795671.9,1.842287539,"No",0.142587776,0.564899760973684,55.8921270010001,8.50981962766495e-11,2.80496297070681e-12,0.0329614855946891,0.0329614855946891
"32","E9","943","Rib",30,"blue",12,1.211508134,0,0.03148125,851552071.9,2.423016267,"No",0.152233871,0.555253665973684,54.9377262310751,6.45148171720103e-11,2.84541174516048e-12,0.0441047788692325,0.0441047788692325
"33","E10","949","Fru",22,"blue",12,0.848552678,0,0.10008125,2707147772,1.697105357,"No",0.169043303,0.538444233973684,53.2745729195225,1.9679226036547e-11,6.26897938322075e-13,0.0318558228437359,0.0318558228437359
"34","E11","951","Rib",22,"blue",12,1.252988757,0.196983693,0.08928125,2415013172,3.096928593,"No",0.169329426,0.538158110973684,53.246263431435,2.20480219523353e-11,1.28236509386625e-12,0.0581623647072982,0.0581623647072983
"35","F2","893","Fru",12,"blue",12,4.244778724,0,0.07628125,2063369672,8.489557449,"Yes",0.140850516,0.566637020973684,56.0640144105228,2.71710955003912e-11,4.11441418578726e-12,0.151426142745258,0.151426142745258
"36","F3","897","Rib",12,"blue",12,3.207763138,0,0.11748125,3177809072,6.415526276,"Yes",0.123255172,0.584232364973684,57.8049271695921,1.81901825628598e-11,2.01885202371906e-12,0.110985803289358,0.110985803289358
"37","F4","809","Fru",42,"blue",12,2.043713142,0,0.03398125,919175821.9,4.087426284,"No",0.160772414,0.546715122973684,54.0929085081274,5.88493596321035e-11,4.44683833779593e-12,0.0755630709594007,0.0755630709594007
"38","F5","913","Rib",42,"blue",12,1.356690316,0,0.05618125,1519674722,2.713380632,"No",0.131368596,0.576118940973684,57.0021714314071,3.75094555474267e-11,1.78550093169214e-12,0.047601355595113,0.047601355595113
"39","F6","925","Fru",37,"blue",12,1.037808023,0,0.04618125,1249179722,2.075616046,"No",0.156910345,0.550577191973684,54.4750280733093,4.36086394246714e-11,1.66158320491853e-12,0.03810215651852,0.03810215651852
"40","F7","929","Rib",37,"blue",12,0.138197002,0,0.04178125,1130161922,0.276394003,"No",0.149413685,0.558073851973684,55.2167601499544,4.88573885521108e-11,2.44561418695542e-13,0.00500561790024235,0.00500561790024235
"41","F8","941","Fru",30,"blue",12,0,0,0.02178125,589171921.9,0,"No",0.129377179,0.578110357973684,57.1992055595223,9.70840656748587e-11,0,0,0
"42","F9","944","Rib",30,"blue",12,0.350785197,0,0.10088125,2728787372,0.701570394,"No",0.165222278,0.542265258973684,53.6526315227088,1.96617120385548e-11,2.57099692412385e-13,0.013076159996049,0.013076159996049
"43","F10","950","Fru",22,"blue",12,1.64705468,0,0.12598125,3407729822,3.29410936,"No",0.142955986,0.564531550973684,55.8556956878631,1.63908814974895e-11,9.6665801928707e-13,0.0589753528164502,0.0589753528164502
"44","F11","952","Rib",22,"blue",12,1.265951452,0,0.04098125,1108522322,2.531902904,"No",0.16297931,0.544508226973684,53.8745545274187,4.86003334873925e-11,2.28403420819883e-12,0.0469962661633039,0.0469962661633039
"45","G9","942","Fru",30,"blue",12,0.918551231,0,0.05488125,1484510372,1.837102461,"No",0.145653041,0.561834495973684,55.5888445560289,3.74459118673163e-11,1.23751406231333e-12,0.0330480418449488,0.0330480418449488
"46","G11","953","Rib",22,"blue",12,4.895506005,0,0.05168125,1397951972,9.79101201,"No",0.163178373,0.544309163973684,53.8548589013168,3.85241124015645e-11,7.00382574373592e-12,0.181803688835969,0.181803688835969
