Measurement results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCGrowthCurves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/17/2022 11:55:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength: 620 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,Time [s],Un0001 (A01),Time [s],Un0002 (A02),Time [s],Un0003 (A03),Time [s],Un0004 (A04),Time [s],Un0005 (A05),Time [s],Un0006 (A06),Time [s],Un0007 (A07),Time [s],Un0008 (A08),Time [s],Un0009 (A09),Time [s],Un0010 (A10),Time [s],Un0011 (A11),Time [s],Un0012 (A12),Time [s],Un0013 (B01),Time [s],Un0014 (B02),Time [s],Un0015 (B03),Time [s],Un0016 (B04),Time [s],Un0017 (B05),Time [s],Un0018 (B06),Time [s],Un0019 (B07),Time [s],Un0020 (B08),Time [s],Un0021 (B09),Time [s],Un0022 (B10),Time [s],Un0023 (B11),Time [s],Un0024 (B12),Time [s],Un0025 (C01),Time [s],Un0026 (C02),Time [s],Un0027 (C03),Time [s],Un0028 (C04),Time [s],Un0029 (C05),Time [s],Un0030 (C06),Time [s],Un0031 (C07),Time [s],Un0032 (C08),Time [s],Un0033 (C09),Time [s],Un0034 (C10),Time [s],Un0035 (C11),Time [s],Un0036 (C12),Time [s],Un0037 (D01),Time [s],Un0038 (D02),Time [s],Un0039 (D03),Time [s],Un0040 (D04),Time [s],Un0041 (D05),Time [s],Un0042 (D06),Time [s],Un0043 (D07),Time [s],Un0044 (D08),Time [s],Un0045 (D09),Time [s],Un0046 (D10),Time [s],Un0047 (D11),Time [s],Un0048 (D12),Time [s],Un0049 (E01),Time [s],Un0050 (E02),Time [s],Un0051 (E03),Time [s],Un0052 (E04),Time [s],Un0053 (E05),Time [s],Un0054 (E06),Time [s],Un0055 (E07),Time [s],Un0056 (E08),Time [s],Un0057 (E09),Time [s],Un0058 (E10),Time [s],Un0059 (E11),Time [s],Un0060 (E12),Time [s],Un0061 (F01),Time [s],Un0062 (F02),Time [s],Un0063 (F03),Time [s],Un0064 (F04),Time [s],Un0065 (F05),Time [s],Un0066 (F06),Time [s],Un0067 (F07),Time [s],Un0068 (F08),Time [s],Un0069 (F09),Time [s],Un0070 (F10),Time [s],Un0071 (F11),Time [s],Un0072 (F12),Time [s],Un0073 (G01),Time [s],Un0074 (G02),Time [s],Un0075 (G03),Time [s],Un0076 (G04),Time [s],Un0077 (G05),Time [s],Un0078 (G06),Time [s],Un0079 (G07),Time [s],Un0080 (G08),Time [s],Un0081 (G09),Time [s],Un0082 (G10),Time [s],Un0083 (G11),Time [s],Un0084 (G12),Time [s],Un0085 (H01),Time [s],Un0086 (H02),Time [s],Un0087 (H03),Time [s],Un0088 (H04),Time [s],Un0089 (H05),Time [s],Un0090 (H06),Time [s],Un0091 (H07),Time [s],Un0092 (H08),Time [s],Un0093 (H09),Time [s],Un0094 (H10),Time [s],Un0095 (H11),Time [s],Un0096 (H12),
1,0.00,0.0384,0.00,0.0402,0.00,0.0460,0.00,0.0402,0.00,0.0416,0.00,0.0432,0.00,0.0422,0.00,0.0436,0.00,0.0418,0.00,0.0400,0.00,0.0391,0.00,0.0419,0.00,0.0380,0.00,0.0441,0.00,0.0415,0.00,0.0478,0.00,0.0463,0.00,0.0488,0.00,0.0473,0.00,0.0469,0.00,0.0407,0.00,0.0421,0.00,0.0440,0.00,0.0364,0.00,0.0384,0.00,0.0568,0.00,0.0382,0.00,0.0491,0.00,0.0709,0.00,0.0514,0.00,0.0665,0.00,0.0678,0.00,0.0389,0.00,0.0529,0.00,0.0382,0.00,0.0381,0.00,0.0428,0.00,0.0428,0.00,0.0532,0.00,0.0544,0.00,0.0616,0.00,0.0394,0.00,0.0526,0.00,0.0663,0.00,0.0405,0.00,0.0400,0.00,0.0385,0.00,0.0379,0.00,0.0400,0.00,0.0755,0.00,0.0462,0.00,0.0451,0.00,0.0433,0.00,0.0452,0.00,0.0437,0.00,0.0420,0.00,0.0433,0.00,0.0418,0.00,0.0385,0.00,0.0366,0.00,0.0633,0.00,0.0462,0.00,0.0555,0.00,0.0545,0.00,0.0496,0.00,0.0580,0.00,0.0496,0.00,0.0657,0.00,0.0613,0.00,0.0516,0.00,0.0985,0.00,0.0364,0.00,0.0388,0.00,0.0558,0.00,0.0406,0.00,0.0751,0.00,0.0575,0.00,0.0571,0.00,0.0507,0.00,0.0381,0.00,0.0527,0.00,0.0384,0.00,0.0476,0.00,0.0364,0.00,0.0409,0.00,0.0620,0.00,0.0558,0.00,0.0568,0.00,0.0809,0.00,0.0878,0.00,0.0646,0.00,0.0592,0.00,0.0381,0.00,0.0374,0.00,0.0429,0.00,0.0371, 
2,600.00,0.0408,600.00,0.0422,599.99,0.0484,599.99,0.0419,599.99,0.0429,600.00,0.0445,600.00,0.0435,600.00,0.0440,600.00,0.0428,600.00,0.0408,600.00,0.0396,600.00,0.0431,600.00,0.0387,600.00,0.0449,600.00,0.0428,600.00,0.0485,600.00,0.0469,599.99,0.0517,599.99,0.0483,599.99,0.0473,600.00,0.0416,600.00,0.0432,600.00,0.0448,600.00,0.0370,599.99,0.0391,599.99,0.0580,599.99,0.0387,599.99,0.0462,600.00,0.0710,600.00,0.0526,600.00,0.0674,600.00,0.0648,600.00,0.0398,600.00,0.0596,600.00,0.0386,600.00,0.0385,600.00,0.0435,600.00,0.0434,600.00,0.0543,600.00,0.0552,600.00,0.0612,600.00,0.0402,599.99,0.0534,599.99,0.0705,599.99,0.0415,599.99,0.0407,600.00,0.0391,600.00,0.0383,599.99,0.0406,600.00,0.0766,600.00,0.0467,600.00,0.0473,600.00,0.0440,600.00,0.0471,600.00,0.0441,600.00,0.0428,600.00,0.0446,600.00,0.0422,599.99,0.0392,599.99,0.0371,600.00,0.0616,600.00,0.0482,600.00,0.0574,600.00,0.0569,600.00,0.0514,600.00,0.0627,600.00,0.0510,600.00,0.0636,600.00,0.0596,599.99,0.0503,599.99,0.0872,600.00,0.0369,600.00,0.0394,600.00,0.0582,600.00,0.0411,600.00,0.0774,600.00,0.0577,600.00,0.0588,600.00,0.0515,600.00,0.0384,599.99,0.0558,599.99,0.0390,599.99,0.0479,600.00,0.0368,599.99,0.0415,599.99,0.0648,600.00,0.0562,600.00,0.0555,600.00,0.0703,600.00,0.0781,600.00,0.0622,600.00,0.0641,600.00,0.0385,600.00,0.0379,599.99,0.0434,599.99,0.0376, 
3,1200.00,0.0413,1199.99,0.0424,1199.99,0.0489,1199.99,0.0423,1199.99,0.0430,1200.00,0.0447,1200.00,0.0433,1200.00,0.0444,1200.00,0.0437,1200.00,0.0408,1200.00,0.0398,1200.00,0.0432,1200.00,0.0388,1200.00,0.0458,1200.00,0.0430,1200.00,0.0505,1200.00,0.0486,1199.99,0.0532,1199.99,0.0489,1199.99,0.0470,1200.00,0.0423,1200.00,0.0434,1200.00,0.0455,1200.00,0.0371,1199.99,0.0392,1199.99,0.0580,1199.99,0.0388,1199.99,0.0464,1200.00,0.0698,1200.00,0.0519,1200.00,0.0665,1200.00,0.0640,1200.00,0.0397,1200.00,0.0601,1200.00,0.0388,1199.99,0.0385,1200.00,0.0441,1200.00,0.0436,1200.00,0.0541,1200.00,0.0553,1200.00,0.0606,1200.00,0.0404,1199.99,0.0576,1199.99,0.0730,1199.99,0.0415,1199.99,0.0406,1200.00,0.0389,1200.00,0.0383,1199.99,0.0406,1200.00,0.0764,1200.00,0.0471,1200.00,0.0479,1200.00,0.0444,1200.00,0.0478,1200.00,0.0441,1200.00,0.0432,1200.00,0.0442,1200.00,0.0426,1199.99,0.0390,1199.99,0.0371,1200.00,0.0622,1200.00,0.0493,1200.00,0.0595,1200.00,0.0590,1200.00,0.0531,1200.00,0.0640,1200.00,0.0522,1200.00,0.0674,1200.00,0.0668,1199.99,0.0509,1199.99,0.0919,1200.00,0.0369,1200.00,0.0396,1200.00,0.0580,1200.00,0.0412,1200.00,0.0702,1200.00,0.0575,1200.00,0.0585,1200.00,0.0517,1200.00,0.0385,1199.99,0.0552,1199.99,0.0388,1199.99,0.0482,1200.00,0.0368,1199.99,0.0423,1200.00,0.0691,1200.00,0.0569,1200.00,0.0554,1200.00,0.0737,1200.00,0.0901,1200.00,0.0633,1200.00,0.0687,1200.00,0.0384,1200.00,0.0378,1199.99,0.0441,1199.99,0.0377, 
