Measurement results																																																																																																																																																																																																	
TC37_Fruc_R1_GrowthCurve_Reader3_20210210																																																																																																																																																																																																	
2/10/2021 4:41:48 PM																																																																																																																																																																																																	
 																																																																																																																																																																																																	
Absorbance 1																																																																																																																																																																																																	
Wavelength: 620 nm																																																																																																																																																																																																	
 																																																																																																																																																																																																	
Plate 1																																																																																																																																																																																																	
 																																																																																																																																																																																																	
Reading	Time [s]	Un0001 (A01)	Time [s]	Un0002 (A02)	Time [s]	Un0003 (A03)	Time [s]	Un0004 (A04)	Time [s]	Un0005 (A05)	Time [s]	Un0006 (A06)	Time [s]	Un0007 (A07)	Time [s]	Un0008 (A08)	Time [s]	Un0009 (A09)	Time [s]	Un0010 (A10)	Time [s]	Un0011 (A11)	Time [s]	Un0012 (A12)	Time [s]	Un0013 (B01)	Time [s]	Un0014 (B02)	Time [s]	Un0015 (B03)	Time [s]	Un0016 (B04)	Time [s]	Un0017 (B05)	Time [s]	Un0018 (B06)	Time [s]	Un0019 (B07)	Time [s]	Un0020 (B08)	Time [s]	Un0021 (B09)	Time [s]	Un0022 (B10)	Time [s]	Un0023 (B11)	Time [s]	Un0024 (B12)	Time [s]	Un0025 (C01)	Time [s]	Un0026 (C02)	Time [s]	Un0027 (C03)	Time [s]	Un0028 (C04)	Time [s]	Un0029 (C05)	Time [s]	Un0030 (C06)	Time [s]	Un0031 (C07)	Time [s]	Un0032 (C08)	Time [s]	Un0033 (C09)	Time [s]	Un0034 (C10)	Time [s]	Un0035 (C11)	Time [s]	Un0036 (C12)	Time [s]	Un0037 (D01)	Time [s]	Un0038 (D02)	Time [s]	Un0039 (D03)	Time [s]	Un0040 (D04)	Time [s]	Un0041 (D05)	Time [s]	Un0042 (D06)	Time [s]	Un0043 (D07)	Time [s]	Un0044 (D08)	Time [s]	Un0045 (D09)	Time [s]	Un0046 (D10)	Time [s]	Un0047 (D11)	Time [s]	Un0048 (D12)	Time [s]	Un0049 (E01)	Time [s]	Un0050 (E02)	Time [s]	Un0051 (E03)	Time [s]	Un0052 (E04)	Time [s]	Un0053 (E05)	Time [s]	Un0054 (E06)	Time [s]	Un0055 (E07)	Time [s]	Un0056 (E08)	Time [s]	Un0057 (E09)	Time [s]	Un0058 (E10)	Time [s]	Un0059 (E11)	Time [s]	Un0060 (E12)	Time [s]	Un0061 (F01)	Time [s]	Un0062 (F02)	Time [s]	Un0063 (F03)	Time [s]	Un0064 (F04)	Time [s]	Un0065 (F05)	Time [s]	Un0066 (F06)	Time [s]	Un0067 (F07)	Time [s]	Un0068 (F08)	Time [s]	Un0069 (F09)	Time [s]	Un0070 (F10)	Time [s]	Un0071 (F11)	Time [s]	Un0072 (F12)	Time [s]	Un0073 (G01)	Time [s]	Un0074 (G02)	Time [s]	Un0075 (G03)	Time [s]	Un0076 (G04)	Time [s]	Un0077 (G05)	Time [s]	Un0078 (G06)	Time [s]	Un0079 (G07)	Time [s]	Un0080 (G08)	Time [s]	Un0081 (G09)	Time [s]	Un0082 (G10)	Time [s]	Un0083 (G11)	Time [s]	Un0084 (G12)	Time [s]	Un0085 (H01)	Time [s]	Un0086 (H02)	Time [s]	Un0087 (H03)	Time [s]	Un0088 (H04)	Time [s]	Un0089 (H05)	Time [s]	Un0090 (H06)	Time [s]	Un0091 (H07)	Time [s]	Un0092 (H08)	Time [s]	Un0093 (H09)	Time [s]	Un0094 (H10)	Time [s]	Un0095 (H11)	Time [s]	Un0096 (H12)	
1	0.00	0.0376	0.00	0.0430	0.00	0.0368	0.00	0.0551	0.00	0.0573	0.00	0.0628	0.00	0.0640	0.00	0.0756	0.00	0.0467	0.00	0.0464	0.00	0.0444	0.00	0.0369	0.00	0.0371	0.00	0.0365	0.00	0.0367	0.00	0.0377	0.00	0.0373	0.00	0.0422	0.00	0.0438	0.00	0.0568	0.00	0.0614	0.00	0.0832	0.00	0.1561	0.00	0.0546	0.00	0.0384	0.00	0.0456	0.00	0.0367	0.00	0.0422	0.00	0.0459	0.00	0.0432	0.00	0.0446	0.00	0.0469	0.00	0.0468	0.00	0.0441	0.00	0.0413	0.00	0.0367	0.00	0.0471	0.00	0.0461	0.00	0.0437	0.00	0.0496	0.00	0.0525	0.00	0.0586	0.00	0.0582	0.00	0.0524	0.00	0.0405	0.00	0.0438	0.00	0.0680	0.00	0.0362	0.00	0.0373	0.00	0.0406	0.00	0.0395	0.00	0.0653	0.00	0.0515	0.00	0.0513	0.00	0.0439	0.00	0.0613	0.00	0.0509	0.00	0.0578	0.00	0.0498	0.00	0.0365	0.00	0.0373	0.00	0.0516	0.00	0.0470	0.00	0.0623	0.00	0.0493	0.00	0.1345	0.00	0.0512	0.00	0.1090	0.00	0.1815	0.00	0.0665	0.00	0.1081	0.00	0.0361	0.00	0.0367	0.00	0.0380	0.00	0.0370	0.00	0.0642	0.00	0.0519	0.00	0.0670	0.00	0.0497	0.00	0.0366	0.00	0.2259	0.00	0.0372	0.00	0.0660	0.00	0.0370	0.00	0.0368	0.00	0.0366	0.00	0.1114	0.00	0.0474	0.00	0.0654	0.00	0.0492	0.00	0.0593	0.00	0.0702	0.00	0.0371	0.00	0.0367	0.00	0.0381	0.00	0.0401	 
2	600.00	0.0384	600.00	0.0437	599.99	0.0381	599.99	0.0477	599.99	0.0457	600.00	0.0609	600.00	0.0553	600.00	0.0632	600.00	0.0443	600.00	0.0438	600.00	0.0416	600.00	0.0374	600.00	0.0376	600.00	0.0373	600.00	0.0374	600.00	0.0381	600.00	0.0384	599.99	0.0419	599.99	0.0450	599.99	0.0548	600.00	0.0598	600.00	0.0754	600.00	0.1544	600.00	0.0501	599.99	0.0391	599.99	0.0494	599.99	0.0374	599.99	0.0485	600.00	0.0478	600.00	0.0460	600.00	0.0464	600.00	0.0488	600.00	0.0458	600.00	0.0461	600.00	0.0414	599.99	0.0370	600.00	0.0459	600.00	0.0477	600.00	0.0448	600.00	0.0536	600.00	0.0535	600.00	0.0631	599.99	0.0998	599.99	0.0539	599.99	0.0397	599.99	0.0456	600.00	0.0673	600.00	0.0368	599.99	0.0380	600.00	0.0415	600.00	0.0407	600.00	0.0676	600.00	0.0540	600.00	0.0527	600.00	0.0467	600.00	0.0613	600.00	0.0539	600.00	0.0580	599.99	0.0519	599.99	0.0369	600.00	0.0376	600.00	0.0523	600.00	0.0477	600.00	0.0665	600.00	0.0504	600.00	0.1462	600.00	0.0529	600.00	0.1143	600.00	0.1677	599.99	0.0639	599.99	0.1120	600.00	0.0364	600.00	0.0372	600.00	0.0384	600.00	0.0374	600.00	0.0628	600.00	0.0527	600.00	0.0633	600.00	0.0556	600.00	0.0371	599.99	0.2254	599.99	0.0376	599.99	0.0598	600.00	0.0373	599.99	0.0373	599.99	0.0377	600.00	0.1100	600.00	0.0458	600.00	0.0609	600.00	0.0534	600.00	0.0575	600.00	0.0681	600.00	0.0375	600.00	0.0370	599.99	0.0385	599.99	0.0406	 
3	1200.00	0.0386	1200.00	0.0434	1199.99	0.0380	1199.99	0.0491	1199.99	0.0459	1200.00	0.0634	1200.00	0.0574	1200.00	0.0642	1200.00	0.0472	1200.00	0.0445	1200.00	0.0447	1200.00	0.0374	1200.00	0.0377	1200.00	0.0373	1200.00	0.0373	1200.00	0.0383	1200.00	0.0385	1199.99	0.0424	1199.99	0.0442	1199.99	0.0538	1200.00	0.0571	1200.00	0.0745	1200.00	0.1545	1200.00	0.0519	1199.99	0.0390	1199.99	0.0513	1199.99	0.0374	1199.99	0.0486	1200.00	0.0486	1200.00	0.0464	1200.00	0.0469	1200.00	0.0493	1200.00	0.0471	1200.00	0.0458	1200.00	0.0414	1199.99	0.0372	1200.00	0.0425	1200.00	0.0475	1200.00	0.0454	1200.00	0.0532	1200.00	0.0534	1200.00	0.0719	1199.99	0.0979	1199.99	0.0554	1199.99	0.0398	1199.99	0.0456	1200.00	0.0670	1200.00	0.0367	1199.99	0.0380	1200.00	0.0415	1200.00	0.0407	1200.00	0.0689	1200.00	0.0561	1200.00	0.0530	1200.00	0.0489	1200.00	0.0610	1200.00	0.0538	1199.99	0.0584	1199.99	0.0529	1199.99	0.0370	1200.00	0.0375	1200.00	0.0548	1200.00	0.0485	1200.00	0.0682	1200.00	0.0525	1200.00	0.1503	1200.00	0.0531	1200.00	0.1113	1200.00	0.1675	1199.99	0.0634	1199.99	0.1337	1199.99	0.0367	1200.00	0.0372	1200.00	0.0385	1200.00	0.0375	1200.00	0.0619	1200.00	0.0540	1200.00	0.0625	1200.00	0.0550	1199.99	0.0371	1199.99	0.2303	1199.99	0.0378	1199.99	0.0585	1200.00	0.0375	1199.99	0.0373	1199.99	0.0375	1200.00	0.1104	1200.00	0.0486	1200.00	0.0676	1200.00	0.0765	1200.00	0.0712	1200.00	0.0740	1200.00	0.0374	1200.00	0.0371	1199.99	0.0384	1199.99	0.0409	 
