Measurement results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TC37_Gal_R1_GrowthCurve_Reader2_20210210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/10/2021 4:36:57 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength: 620 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,Time [s],Un0001 (A01),Time [s],Un0002 (A02),Time [s],Un0003 (A03),Time [s],Un0004 (A04),Time [s],Un0005 (A05),Time [s],Un0006 (A06),Time [s],Un0007 (A07),Time [s],Un0008 (A08),Time [s],Un0009 (A09),Time [s],Un0010 (A10),Time [s],Un0011 (A11),Time [s],Un0012 (A12),Time [s],Un0013 (B01),Time [s],Un0014 (B02),Time [s],Un0015 (B03),Time [s],Un0016 (B04),Time [s],Un0017 (B05),Time [s],Un0018 (B06),Time [s],Un0019 (B07),Time [s],Un0020 (B08),Time [s],Un0021 (B09),Time [s],Un0022 (B10),Time [s],Un0023 (B11),Time [s],Un0024 (B12),Time [s],Un0025 (C01),Time [s],Un0026 (C02),Time [s],Un0027 (C03),Time [s],Un0028 (C04),Time [s],Un0029 (C05),Time [s],Un0030 (C06),Time [s],Un0031 (C07),Time [s],Un0032 (C08),Time [s],Un0033 (C09),Time [s],Un0034 (C10),Time [s],Un0035 (C11),Time [s],Un0036 (C12),Time [s],Un0037 (D01),Time [s],Un0038 (D02),Time [s],Un0039 (D03),Time [s],Un0040 (D04),Time [s],Un0041 (D05),Time [s],Un0042 (D06),Time [s],Un0043 (D07),Time [s],Un0044 (D08),Time [s],Un0045 (D09),Time [s],Un0046 (D10),Time [s],Un0047 (D11),Time [s],Un0048 (D12),Time [s],Un0049 (E01),Time [s],Un0050 (E02),Time [s],Un0051 (E03),Time [s],Un0052 (E04),Time [s],Un0053 (E05),Time [s],Un0054 (E06),Time [s],Un0055 (E07),Time [s],Un0056 (E08),Time [s],Un0057 (E09),Time [s],Un0058 (E10),Time [s],Un0059 (E11),Time [s],Un0060 (E12),Time [s],Un0061 (F01),Time [s],Un0062 (F02),Time [s],Un0063 (F03),Time [s],Un0064 (F04),Time [s],Un0065 (F05),Time [s],Un0066 (F06),Time [s],Un0067 (F07),Time [s],Un0068 (F08),Time [s],Un0069 (F09),Time [s],Un0070 (F10),Time [s],Un0071 (F11),Time [s],Un0072 (F12),Time [s],Un0073 (G01),Time [s],Un0074 (G02),Time [s],Un0075 (G03),Time [s],Un0076 (G04),Time [s],Un0077 (G05),Time [s],Un0078 (G06),Time [s],Un0079 (G07),Time [s],Un0080 (G08),Time [s],Un0081 (G09),Time [s],Un0082 (G10),Time [s],Un0083 (G11),Time [s],Un0084 (G12),Time [s],Un0085 (H01),Time [s],Un0086 (H02),Time [s],Un0087 (H03),Time [s],Un0088 (H04),Time [s],Un0089 (H05),Time [s],Un0090 (H06),Time [s],Un0091 (H07),Time [s],Un0092 (H08),Time [s],Un0093 (H09),Time [s],Un0094 (H10),Time [s],Un0095 (H11),Time [s],Un0096 (H12),
1,0.00,0.03880,0.00,0.03530,0.00,0.03400,0.00,0.08980,0.00,0.07790,0.00,0.10210,0.00,0.06900,0.00,0.09060,0.00,0.05160,0.00,0.03970,0.00,0.04250,0.00,0.03490,0.00,0.03520,0.00,0.03360,0.00,0.03400,0.00,0.10810,0.00,0.09160,0.00,0.15920,0.00,0.05040,0.00,0.12330,0.00,0.05410,0.00,0.11430,0.00,0.09390,0.00,0.03920,0.00,0.03370,0.00,0.03870,0.00,0.03360,0.00,0.03530,0.00,0.04010,0.00,0.03840,0.00,0.03950,0.00,0.05010,0.00,0.08320,0.00,0.06740,0.00,0.03930,0.00,0.03420,0.00,0.03720,0.00,0.07670,0.00,0.03690,0.00,0.04150,0.00,0.03950,0.00,0.03840,0.00,0.04180,0.00,0.04970,0.00,0.04260,0.00,0.04920,0.00,0.04450,0.00,0.03480,0.00,0.03440,0.00,0.03850,0.00,0.03900,0.00,0.05130,0.00,0.05080,0.00,0.05360,0.00,0.09350,0.00,0.05600,0.00,0.05430,0.00,0.07070,0.00,0.04250,0.00,0.03400,0.00,0.03570,0.00,0.03970,0.00,0.07330,0.00,0.26450,0.00,0.11580,0.00,0.15120,0.00,0.07270,0.00,0.14720,0.00,0.20150,0.00,0.06740,0.00,0.13760,0.00,0.03590,0.00,0.03410,0.00,0.03360,0.00,0.03770,0.00,0.04400,0.00,0.04520,0.00,0.04180,0.00,0.04920,0.00,0.03470,0.00,0.23680,0.00,0.03760,0.00,0.10840,0.00,0.03580,0.00,0.03470,0.00,0.03770,0.00,0.04850,0.00,0.04530,0.00,0.03770,0.00,0.03800,0.00,0.03940,0.00,0.04540,0.00,0.03560,0.00,0.03530,0.00,0.03600,0.00,0.03500, 
2,600.00,0.03880,599.99,0.03530,599.99,0.03430,599.99,0.07850,599.99,0.07430,600.00,0.10710,600.00,0.06600,600.00,0.08810,600.00,0.04380,600.00,0.03750,600.00,0.03610,600.00,0.03440,600.00,0.03550,600.00,0.03390,600.00,0.03410,600.00,0.11100,600.00,0.08720,599.99,0.15630,599.99,0.04650,599.99,0.09980,599.99,0.05040,600.00,0.10430,600.00,0.08580,600.00,0.03750,599.99,0.03390,599.99,0.03740,600.00,0.03370,600.00,0.03510,600.00,0.03830,600.00,0.03620,600.00,0.03850,600.00,0.04820,600.00,0.07180,599.99,0.05900,599.99,0.03740,599.99,0.03410,600.00,0.03770,600.00,0.07570,600.00,0.03690,600.00,0.04050,600.00,0.03810,600.00,0.03700,600.00,0.03960,600.00,0.05460,599.99,0.04200,599.99,0.05060,599.99,0.04340,599.99,0.03440,600.00,0.03470,600.00,0.03710,600.00,0.03780,600.00,0.05600,600.00,0.05130,600.00,0.05040,599.99,0.09360,599.99,0.05290,599.99,0.05000,600.00,0.05910,600.00,0.04330,600.00,0.03400,599.99,0.03600,599.99,0.04240,599.99,0.06580,599.99,0.26290,600.00,0.11700,600.00,0.13200,600.00,0.06810,600.00,0.13030,600.00,0.19880,600.00,0.06510,600.00,0.13140,600.00,0.03550,600.00,0.03460,600.00,0.03370,599.99,0.03770,599.99,0.04070,599.99,0.04150,599.99,0.03840,600.00,0.04480,600.00,0.03470,600.00,0.22760,600.00,0.03760,600.00,0.10200,600.00,0.03540,600.00,0.03500,600.00,0.03800,600.00,0.04560,599.99,0.04340,599.99,0.03640,599.99,0.03670,599.99,0.03730,599.99,0.04110,600.00,0.03570,600.00,0.03510,600.00,0.03580,600.00,0.03510, 
3,1200.00,0.03880,1199.99,0.03510,1199.99,0.03420,1199.99,0.06290,1199.99,0.05430,1200.00,0.08350,1200.00,0.05700,1200.00,0.06880,1200.00,0.04190,1200.00,0.03700,1200.00,0.03630,1200.00,0.03420,1200.00,0.03550,1200.00,0.03390,1200.00,0.03410,1200.00,0.10030,1200.00,0.08580,1199.99,0.15700,1199.99,0.04450,1199.99,0.08120,1200.00,0.04970,1200.00,0.09850,1200.00,0.08410,1200.00,0.03830,1199.99,0.03390,1199.99,0.03790,1200.00,0.03360,1200.00,0.03500,1200.00,0.03790,1200.00,0.03630,1200.00,0.03770,1200.00,0.04740,1200.00,0.06780,1200.00,0.05200,1199.99,0.03700,1199.99,0.03390,1200.00,0.03850,1200.00,0.07640,1200.00,0.03690,1200.00,0.04100,1200.00,0.03770,1200.00,0.03620,1200.00,0.03800,1200.00,0.05460,1199.99,0.04060,1199.99,0.04780,1199.99,0.04270,1200.00,0.03430,1200.00,0.03470,1200.00,0.03700,1200.00,0.03720,1200.00,0.05430,1200.00,0.04480,1200.00,0.04700,1199.99,0.09600,1199.99,0.05360,1199.99,0.05930,1200.00,0.06070,1200.00,0.04280,1200.00,0.03390,1199.99,0.03600,1199.99,0.04530,1199.99,0.06650,1200.00,0.26940,1200.00,0.11800,1200.00,0.14060,1200.00,0.06640,1200.00,0.12580,1200.00,0.19660,1200.00,0.06440,1200.00,0.12610,1200.00,0.03550,1200.00,0.03450,1200.00,0.03380,1199.99,0.03760,1199.99,0.04030,1199.99,0.03980,1199.99,0.03800,1200.00,0.04410,1200.00,0.03480,1200.00,0.21040,1200.00,0.03760,1200.00,0.09810,1200.00,0.03540,1200.00,0.03510,1200.00,0.03810,1200.00,0.04620,1199.99,0.04400,1199.99,0.03670,1199.99,0.03690,1199.99,0.03760,1200.00,0.04160,1200.00,0.03570,1200.00,0.03500,1200.00,0.03580,1200.00,0.03500, 
