

Software Version	3.09.07

Procedure Details

Plate Type	96 WELL PLATE
Skip load plate dialog	
Eject plate on completion	
Set Temperature	Setpoint 37°C, Gradient 0 °C
	Preheat before moving to next step
Start Kinetic	Runtime 48:00:00 (HH:MM:SS), Interval 0:10:00, 289 Reads
    Read	Absorbance Endpoint
	Full Plate
	Wavelengths:  620
	Read Speed: Sweep,  Delay: 0 msec,  Measurements/Data Point: 1
End Kinetic	

620

Time	T° 620	A1	A2	A3	A4	A5	A6	A7	A8	A9	A10	A11	A12	B1	B2	B3	B4	B5	B6	B7	B8	B9	B10	B11	B12	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	D1	D2	D3	D4	D5	D6	D7	D8	D9	D10	D11	D12	E1	E2	E3	E4	E5	E6	E7	E8	E9	E10	E11	E12	F1	F2	F3	F4	F5	F6	F7	F8	F9	F10	F11	F12	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12
0:00:00	36.9	0.040	0.040	0.041	0.046	0.044	0.053	0.067	0.070	0.053	0.043	0.043	0.042	0.039	0.040	0.043	0.043	0.048	0.046	0.042	0.044	0.044	0.043	0.043	0.042	0.039	0.039	0.039	0.044	0.045	0.046	0.054	0.052	0.040	0.047	0.039	0.041	0.039	0.039	0.042	0.057	0.052	0.045	0.043	0.055	0.040	0.044	0.041	0.041	0.039	0.039	0.040	0.043	0.043	0.044	0.044	0.044	0.042	0.042	0.042	0.042	0.043	0.042	0.041	0.046	0.040	0.044	0.042	0.042	0.042	0.042	0.042	0.043	0.043	0.042	0.039	0.048	0.050	0.053	0.047	0.041	0.043	0.040	0.043	0.038	0.041	0.046	0.042	0.046	0.043	0.044	0.047	0.043	0.043	0.041	0.041	0.041
0:10:00	37.0	0.041	0.039	0.043	0.044	0.042	0.054	0.084	0.084	0.052	0.042	0.043	0.042	0.039	0.038	0.045	0.045	0.047	0.045	0.043	0.045	0.043	0.044	0.043	0.042	0.039	0.040	0.038	0.045	0.047	0.047	0.060	0.049	0.041	0.046	0.039	0.040	0.040	0.040	0.042	0.066	0.053	0.045	0.044	0.055	0.040	0.043	0.042	0.041	0.040	0.040	0.039	0.042	0.044	0.044	0.043	0.043	0.042	0.042	0.041	0.042	0.042	0.042	0.042	0.045	0.041	0.043	0.042	0.041	0.042	0.041	0.043	0.043	0.043	0.042	0.040	0.047	0.049	0.052	0.047	0.041	0.044	0.040	0.044	0.040	0.043	0.046	0.043	0.045	0.043	0.043	0.045	0.041	0.043	0.041	0.044	0.041
0:20:00	37.0	0.041	0.040	0.044	0.045	0.043	0.058	0.097	0.098	0.054	0.042	0.046	0.043	0.038	0.039	0.046	0.047	0.047	0.045	0.042	0.044	0.044	0.044	0.045	0.042	0.039	0.040	0.039	0.043	0.045	0.045	0.064	0.050	0.041	0.045	0.041	0.039	0.038	0.040	0.041	0.056	0.050	0.046	0.043	0.057	0.040	0.043	0.042	0.042	0.039	0.039	0.039	0.041	0.044	0.043	0.045	0.043	0.042	0.043	0.041	0.041	0.042	0.042	0.042	0.045	0.041	0.044	0.043	0.041	0.042	0.040	0.043	0.044	0.044	0.042	0.041	0.045	0.047	0.051	0.047	0.041	0.043	0.040	0.043	0.040	0.042	0.047	0.043	0.044	0.044	0.042	0.045	0.042	0.042	0.041	0.083	0.041
0:30:00	37.0	0.040	0.039	0.046	0.045	0.043	0.060	0.112	0.107	0.057	0.042	0.048	0.043	0.039	0.038	0.047	0.049	0.047	0.047	0.043	0.045	0.044	0.044	0.045	0.042	0.039	0.041	0.038	0.043	0.046	0.045	0.072	0.049	0.040	0.045	0.040	0.040	0.039	0.039	0.041	0.058	0.050	0.046	0.043	0.061	0.040	0.042	0.042	0.042	0.039	0.040	0.039	0.042	0.044	0.044	0.045	0.043	0.042	0.043	0.041	0.041	0.043	0.042	0.042	0.046	0.041	0.044	0.042	0.042	0.042	0.040	0.043	0.043	0.043	0.042	0.040	0.045	0.049	0.051	0.046	0.041	0.044	0.041	0.044	0.039	0.043	0.050	0.042	0.044	0.044	0.042	0.046	0.042	0.043	0.041	0.046	0.041
0:40:00	37.0	0.041	0.040	0.048	0.046	0.043	0.063	0.119	0.115	0.058	0.042	0.050	0.043	0.040	0.038	0.050	0.050	0.048	0.048	0.044	0.044	0.045	0.046	0.044	0.042	0.040	0.040	0.039	0.043	0.046	0.044	0.076	0.049	0.039	0.044	0.039	0.040	0.039	0.039	0.042	0.054	0.050	0.047	0.043	0.064	0.039	0.044	0.043	0.041	0.040	0.039	0.039	0.042	0.044	0.044	0.045	0.042	0.043	0.043	0.040	0.041	0.042	0.043	0.042	0.047	0.041	0.044	0.042	0.042	0.042	0.041	0.043	0.043	0.043	0.042	0.040	0.045	0.048	0.050	0.047	0.041	0.044	0.039	0.043	0.039	0.042	0.053	0.042	0.044	0.044	0.042	0.045	0.042	0.043	0.040	0.049	0.040
0:50:00	37.0	0.040	0.039	0.050	0.046	0.044	0.066	0.124	0.123	0.059	0.042	0.051	0.042	0.038	0.039	0.051	0.054	0.049	0.049	0.045	0.045	0.046	0.045	0.045	0.043	0.039	0.040	0.039	0.043	0.045	0.044	0.080	0.049	0.040	0.045	0.041	0.039	0.040	0.040	0.041	0.060	0.050	0.048	0.043	0.068	0.040	0.044	0.042	0.041	0.040	0.039	0.039	0.042	0.045	0.044	0.046	0.042	0.043	0.043	0.041	0.042	0.042	0.043	0.042	0.047	0.042	0.045	0.042	0.041	0.042	0.041	0.043	0.043	0.043	0.043	0.039	0.045	0.047	0.049	0.047	0.041	0.044	0.040	0.043	0.040	0.043	0.050	0.042	0.044	0.043	0.043	0.045	0.043	0.043	0.041	0.051	0.041
1:00:00	37.0	0.040	0.039	0.051	0.046	0.045	0.066	0.131	0.126	0.060	0.043	0.052	0.042	0.039	0.039	0.054	0.054	0.050	0.050	0.045	0.045	0.046	0.046	0.045	0.042	0.039	0.040	0.039	0.044	0.045	0.044	0.084	0.048	0.041	0.044	0.040	0.040	0.040	0.040	0.042	0.054	0.051	0.048	0.043	0.070	0.040	0.044	0.041	0.041	0.039	0.040	0.038	0.043	0.045	0.045	0.046	0.044	0.043	0.044	0.042	0.042	0.043	0.044	0.041	0.048	0.041	0.044	0.044	0.041	0.043	0.040	0.043	0.043	0.043	0.042	0.039	0.046	0.048	0.050	0.048	0.040	0.045	0.041	0.044	0.040	0.043	0.051	0.043	0.045	0.044	0.043	0.045	0.041	0.042	0.041	0.051	0.041
1:10:00	37.0	0.041	0.039	0.055	0.045	0.045	0.069	0.135	0.132	0.062	0.042	0.054	0.043	0.039	0.039	0.054	0.056	0.052	0.052	0.046	0.046	0.046	0.046	0.045	0.042	0.040	0.040	0.040	0.043	0.045	0.044	0.088	0.049	0.041	0.044	0.039	0.039	0.039	0.040	0.042	0.055	0.050	0.049	0.043	0.070	0.040	0.044	0.042	0.041	0.039	0.040	0.039	0.044	0.045	0.045	0.047	0.043	0.043	0.043	0.041	0.041	0.043	0.043	0.042	0.049	0.043	0.045	0.043	0.042	0.043	0.041	0.043	0.043	0.043	0.043	0.039	0.045	0.048	0.050	0.049	0.041	0.044	0.040	0.044	0.040	0.042	0.052	0.043	0.045	0.043	0.041	0.045	0.043	0.043	0.041	0.054	0.041
1:20:00	37.0	0.040	0.038	0.053	0.045	0.046	0.074	0.134	0.138	0.063	0.043	0.055	0.042	0.038	0.039	0.055	0.059	0.054	0.054	0.046	0.046	0.048	0.046	0.045	0.042	0.040	0.041	0.038	0.044	0.045	0.045	0.089	0.049	0.040	0.045	0.040	0.040	0.040	0.040	0.042	0.057	0.050	0.050	0.044	0.074	0.040	0.045	0.042	0.041	0.040	0.039	0.039	0.045	0.045	0.045	0.049	0.043	0.043	0.045	0.042	0.042	0.041	0.044	0.042	0.050	0.043	0.045	0.044	0.042	0.042	0.041	0.044	0.045	0.044	0.042	0.039	0.045	0.048	0.049	0.047	0.041	0.046	0.040	0.043	0.041	0.042	0.051	0.043	0.045	0.043	0.043	0.045	0.043	0.043	0.041	0.057	0.042
1:30:00	37.0	0.041	0.040	0.055	0.047	0.048	0.075	0.136	0.138	0.065	0.043	0.055	0.043	0.039	0.039	0.055	0.060	0.056	0.057	0.048	0.047	0.049	0.047	0.047	0.042	0.039	0.041	0.039	0.043	0.045	0.044	0.089	0.048	0.040	0.045	0.040	0.040	0.039	0.040	0.042	0.057	0.051	0.051	0.044	0.072	0.041	0.045	0.042	0.041	0.039	0.040	0.039	0.046	0.046	0.046	0.049	0.044	0.044	0.044	0.041	0.042	0.042	0.044	0.043	0.051	0.044	0.046	0.045	0.043	0.043	0.041	0.044	0.044	0.044	0.042	0.039	0.045	0.048	0.050	0.047	0.042	0.046	0.041	0.044	0.040	0.041	0.053	0.044	0.045	0.044	0.043	0.045	0.042	0.043	0.044	0.059	0.041
