Measurement results,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Session (25),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/19/2021 11:36:21 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Absorbance 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wavelength: 620 nm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plate 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Reading,Time [s],Un0001 (A01),Time [s],Un0002 (A02),Time [s],Un0003 (A03),Time [s],Un0004 (A04),Time [s],Un0005 (A05),Time [s],Un0006 (A06),Time [s],Un0007 (A07),Time [s],Un0008 (A08),Time [s],Un0009 (A09),Time [s],Un0010 (A10),Time [s],Un0011 (A11),Time [s],Un0012 (A12),Time [s],Un0013 (B01),Time [s],Un0014 (B02),Time [s],Un0015 (B03),Time [s],Un0016 (B04),Time [s],Un0017 (B05),Time [s],Un0018 (B06),Time [s],Un0019 (B07),Time [s],Un0020 (B08),Time [s],Un0021 (B09),Time [s],Un0022 (B10),Time [s],Un0023 (B11),Time [s],Un0024 (B12),Time [s],Un0025 (C01),Time [s],Un0026 (C02),Time [s],Un0027 (C03),Time [s],Un0028 (C04),Time [s],Un0029 (C05),Time [s],Un0030 (C06),Time [s],Un0031 (C07),Time [s],Un0032 (C08),Time [s],Un0033 (C09),Time [s],Un0034 (C10),Time [s],Un0035 (C11),Time [s],Un0036 (C12),Time [s],Un0037 (D01),Time [s],Un0038 (D02),Time [s],Un0039 (D03),Time [s],Un0040 (D04),Time [s],Un0041 (D05),Time [s],Un0042 (D06),Time [s],Un0043 (D07),Time [s],Un0044 (D08),Time [s],Un0045 (D09),Time [s],Un0046 (D10),Time [s],Un0047 (D11),Time [s],Un0048 (D12),Time [s],Un0049 (E01),Time [s],Un0050 (E02),Time [s],Un0051 (E03),Time [s],Un0052 (E04),Time [s],Un0053 (E05),Time [s],Un0054 (E06),Time [s],Un0055 (E07),Time [s],Un0056 (E08),Time [s],Un0057 (E09),Time [s],Un0058 (E10),Time [s],Un0059 (E11),Time [s],Un0060 (E12),Time [s],Un0061 (F01),Time [s],Un0062 (F02),Time [s],Un0063 (F03),Time [s],Un0064 (F04),Time [s],Un0065 (F05),Time [s],Un0066 (F06),Time [s],Un0067 (F07),Time [s],Un0068 (F08),Time [s],Un0069 (F09),Time [s],Un0070 (F10),Time [s],Un0071 (F11),Time [s],Un0072 (F12),Time [s],Un0073 (G01),Time [s],Un0074 (G02),Time [s],Un0075 (G03),Time [s],Un0076 (G04),Time [s],Un0077 (G05),Time [s],Un0078 (G06),Time [s],Un0079 (G07),Time [s],Un0080 (G08),Time [s],Un0081 (G09),Time [s],Un0082 (G10),Time [s],Un0083 (G11),Time [s],Un0084 (G12),Time [s],Un0085 (H01),Time [s],Un0086 (H02),Time [s],Un0087 (H03),Time [s],Un0088 (H04),Time [s],Un0089 (H05),Time [s],Un0090 (H06),Time [s],Un0091 (H07),Time [s],Un0092 (H08),Time [s],Un0093 (H09),Time [s],Un0094 (H10),Time [s],Un0095 (H11),Time [s],Un0096 (H12),
1,0.00,0.03510,0.00,0.03430,0.00,0.03530,0.00,0.07420,0.00,0.03880,0.00,0.06560,0.00,0.07090,0.00,0.04290,0.00,0.04110,0.00,0.03780,0.00,0.03450,0.00,0.03400,0.00,0.03580,0.00,0.03510,0.00,0.03580,0.00,0.05140,0.00,0.04830,0.00,0.08220,0.00,0.03560,0.00,0.03800,0.00,0.04100,0.00,0.04960,0.00,0.04120,0.00,0.03500,0.00,0.03690,0.00,0.03880,0.00,0.05470,0.00,0.03770,0.00,0.03860,0.00,0.04060,0.00,0.06010,0.00,0.05380,0.00,0.04850,0.00,0.04330,0.00,0.03370,0.00,0.03490,0.00,0.03830,0.00,0.03940,0.00,0.03530,0.00,0.05840,0.00,0.04550,0.00,0.04310,0.00,0.05370,0.00,0.05980,0.00,0.03510,0.00,0.04300,0.00,0.03910,0.00,0.03470,0.00,0.03820,0.00,0.03540,0.00,0.03500,0.00,0.07710,0.00,0.11460,0.00,0.05530,0.00,0.12540,0.00,0.15970,0.00,0.05130,0.00,0.05210,0.00,0.03720,0.00,0.03470,0.00,0.03560,0.00,0.05580,0.00,0.04000,0.00,0.13230,0.00,0.12680,0.00,0.07470,0.00,0.09400,0.00,0.09900,0.00,0.11680,0.00,0.06650,0.00,0.12150,0.00,0.03650,0.00,0.03720,0.00,0.03510,0.00,0.03730,0.00,0.06850,0.00,0.06720,0.00,0.04910,0.00,0.06010,0.00,0.03580,0.00,0.10120,0.00,0.03490,0.00,0.03810,0.00,0.03420,0.00,0.03700,0.00,0.03740,0.00,0.03940,0.00,0.03910,0.00,0.07840,0.00,0.03900,0.00,0.13040,0.00,0.11950,0.00,0.03580,0.00,0.03480,0.00,0.03490,0.00,0.03500, 
2,600.00,0.03550,600.00,0.03470,599.99,0.03570,599.99,0.05340,599.99,0.03540,600.00,0.05010,600.00,0.04990,600.00,0.03900,600.00,0.04060,600.00,0.03710,600.00,0.03440,600.00,0.03420,600.00,0.03630,600.00,0.03550,600.00,0.03600,600.00,0.04810,600.00,0.04670,599.99,0.06120,599.99,0.03640,599.99,0.03590,599.99,0.04370,600.00,0.04780,600.00,0.03830,600.00,0.03430,600.00,0.03740,600.00,0.03670,600.00,0.05000,600.00,0.03730,600.00,0.03660,600.00,0.03820,600.00,0.04910,599.99,0.04390,599.99,0.04910,599.99,0.04110,599.99,0.03370,600.00,0.03500,599.99,0.03840,599.99,0.03980,600.00,0.03580,600.00,0.05060,600.00,0.04050,600.00,0.04170,600.00,0.04520,600.00,0.04880,600.00,0.03500,600.00,0.04080,599.99,0.03940,599.99,0.03460,600.00,0.03850,600.00,0.03540,599.99,0.03500,599.99,0.07020,599.99,0.09110,599.99,0.05180,600.00,0.10280,600.00,0.12590,600.00,0.04950,600.00,0.04810,600.00,0.03810,600.00,0.03430,600.00,0.03610,600.00,0.05250,600.00,0.04030,599.99,0.10520,599.99,0.11150,599.99,0.06790,599.99,0.08170,599.99,0.08450,600.00,0.09740,600.00,0.06030,600.00,0.09450,600.00,0.03610,599.99,0.03770,600.00,0.03700,600.00,0.03760,600.00,0.05690,600.00,0.05560,600.00,0.04170,600.00,0.04810,600.00,0.03590,599.99,0.07920,599.99,0.03500,599.99,0.03790,599.99,0.03420,599.99,0.03750,599.99,0.03810,600.00,0.04000,600.00,0.03890,600.00,0.07430,600.00,0.03820,600.00,0.12400,600.00,0.11050,600.00,0.03580,599.99,0.03490,599.99,0.03510,599.99,0.03540, 
3,1200.00,0.03550,1199.99,0.03470,1199.99,0.03560,1199.99,0.04990,1199.99,0.03520,1200.00,0.04830,1200.00,0.04690,1200.00,0.03810,1200.00,0.03840,1200.00,0.03680,1200.00,0.03430,1200.00,0.03400,1200.00,0.03620,1200.00,0.03550,1200.00,0.03610,1200.00,0.04850,1200.00,0.04940,1199.99,0.05900,1199.99,0.03650,1199.99,0.03610,1200.00,0.04540,1200.00,0.04700,1200.00,0.03800,1200.00,0.03430,1200.00,0.03750,1200.00,0.03670,1200.00,0.04850,1200.00,0.03710,1200.00,0.03640,1200.00,0.03720,1200.00,0.04610,1200.00,0.04220,1199.99,0.04910,1199.99,0.04090,1199.99,0.03370,1200.00,0.03480,1199.99,0.03830,1199.99,0.04000,1200.00,0.03580,1200.00,0.04730,1200.00,0.04060,1200.00,0.04110,1200.00,0.04340,1200.00,0.04810,1200.00,0.03490,1200.00,0.04140,1199.99,0.03840,1199.99,0.03450,1200.00,0.03880,1200.00,0.03560,1199.99,0.03530,1199.99,0.06920,1199.99,0.08430,1199.99,0.05180,1200.00,0.09640,1200.00,0.12330,1200.00,0.05130,1200.00,0.04990,1200.00,0.03780,1200.00,0.03420,1200.00,0.03600,1200.00,0.05210,1200.00,0.04060,1199.99,0.10360,1199.99,0.10540,1199.99,0.06310,1199.99,0.07990,1199.99,0.07570,1200.00,0.09180,1200.00,0.06190,1200.00,0.09420,1200.00,0.03610,1199.99,0.03760,1200.00,0.03710,1200.00,0.03780,1200.00,0.05350,1200.00,0.05400,1200.00,0.04100,1200.00,0.04570,1200.00,0.03590,1200.00,0.07240,1199.99,0.03470,1199.99,0.03760,1199.99,0.03400,1199.99,0.03740,1200.00,0.03800,1200.00,0.03980,1200.00,0.03860,1200.00,0.07340,1200.00,0.03820,1200.00,0.12100,1200.00,0.10860,1200.00,0.03580,1199.99,0.03480,1199.99,0.03500,1199.99,0.03520, 
