"","well","tmp","carbon_source","carbon","temperature","Fermenter","mean_r","mean_lag"
"1","A10",12,"glucose","Glu",22,"Fermenter",0.12584087171496,9.93179303344701
"2","A10",12,"galactose","Glu",22,"Fermenter",0.115264150835822,11.6525913591384
"3","A10",12,"fructose","Glu",22,"Fermenter",0.109990964939553,16.9205081846773
"4","A10",12,"ribose","Glu",22,"Fermenter",0.125089030167782,21.3683266924128
"5","A10",22,"glucose","Glu",22,"Fermenter",0.223345256647235,3.95887351126552
"6","A10",22,"galactose","Glu",22,"Fermenter",0.195907415759913,2.65403996800283
"7","A10",22,"fructose","Glu",22,"Fermenter",0.180062331165556,3.6797691553137
"8","A10",22,"ribose","Glu",22,"Fermenter",0.134887624041724,3.93711873231109
"9","A10",30,"glucose","Glu",22,"Fermenter",0.219014868049038,2.02806113382551
"10","A10",30,"galactose","Glu",22,"Fermenter",0.199376325526945,2.0141243847445
"11","A10",30,"fructose","Glu",22,"Fermenter",0.192220623380894,2.84265165820036
"12","A10",30,"ribose","Glu",22,"Fermenter",0.175518956329572,3.22614795080423
"13","A10",37,"glucose","Glu",22,"Fermenter",0.180916961184078,6.51116209474811
"14","A10",37,"galactose","Glu",22,"Fermenter",0.274838541735779,6.50187919802711
"15","A10",37,"fructose","Glu",22,"Fermenter",0.266917811354404,5.08679260669022
"16","A10",37,"ribose","Glu",22,"Fermenter",0.274547282810566,3.60928199046647
"17","A10",42,"glucose","Glu",22,"Fermenter",0.00125692517479487,-1.73454757701359
"18","A10",42,"galactose","Glu",22,"Fermenter",0.000946411599737196,12.0291927393961
"19","A10",42,"fructose","Glu",22,"Fermenter",0.000225772149993035,-56.678254891787
"20","A11",12,"glucose","Gal",22,"Fermenter",0.124573598181571,12.6058247166338
"21","A11",12,"galactose","Gal",22,"Fermenter",0.118934675325906,12.9957339386525
"22","A11",12,"fructose","Gal",22,"Fermenter",0.112476083280415,17.4721495308858
"23","A11",12,"ribose","Gal",22,"Fermenter",0.105015495293293,18.8803632778352
"24","A11",22,"glucose","Gal",22,"Fermenter",0.195592713676444,5.01473210958109
"25","A11",22,"galactose","Gal",22,"Fermenter",0.212473492294272,4.52236061592492
"26","A11",22,"fructose","Gal",22,"Fermenter",0.194112094028642,4.22246644343134
"27","A11",22,"ribose","Gal",22,"Fermenter",0.139902049168615,-5.88334090633128
"28","A11",30,"glucose","Gal",22,"Fermenter",0.195056019796548,1.86525277755431
"29","A11",30,"galactose","Gal",22,"Fermenter",0.196692520530847,1.74173758761577
"30","A11",30,"fructose","Gal",22,"Fermenter",0.167518318254994,1.06802785149426
"31","A11",30,"ribose","Gal",22,"Fermenter",0.177193031265998,1.73194498088919
"32","A11",37,"glucose","Gal",22,"Fermenter",0.185139762636455,15.3354377557185
"33","A11",37,"galactose","Gal",22,"Fermenter",0.12523301907338,14.3342007016987
"34","A11",37,"fructose","Gal",22,"Fermenter",0.184537153792363,4.85615399415922
"35","A11",37,"ribose","Gal",22,"Fermenter",0.0758617018525545,9.22267894310484
"36","A11",42,"glucose","Gal",22,"Fermenter",3.87377860560046e-15,61999419.9370198
"37","A11",42,"galactose","Gal",22,"Fermenter",0.00124074572521312,4.92337819732126
"38","A11",42,"fructose","Gal",22,"Fermenter",0.119311087625469,14.937456704207
"39","A2",12,"glucose","Glu",12.5,"Fermenter",0.116970238444535,9.49039420977634
"40","A2",12,"galactose","Glu",12.5,"Fermenter",0.11667707684021,10.5278522235203
"41","A2",12,"fructose","Glu",12.5,"Fermenter",0.12485085785717,9.29967361086535
"42","A2",12,"ribose","Glu",12.5,"Fermenter",0.0960255523391457,16.4843364251994
"43","A2",22,"glucose","Glu",12.5,"Fermenter",0.20324389700301,5.4399485296899
"44","A2",22,"galactose","Glu",12.5,"Fermenter",0.175099629157702,4.37669185891706
"45","A2",22,"fructose","Glu",12.5,"Fermenter",0.176150654127481,4.30119998793066
"46","A2",22,"ribose","Glu",12.5,"Fermenter",0.111316045386822,-60.6485023470534
"47","A2",30,"glucose","Glu",12.5,"Fermenter",0.20692193345767,1.63001073276607
"48","A2",30,"galactose","Glu",12.5,"Fermenter",0.18145761938823,2.00037852861175
"49","A2",30,"fructose","Glu",12.5,"Fermenter",0.185425967788651,4.04628228116351
"50","A2",30,"ribose","Glu",12.5,"Fermenter",0.183116677813531,4.00505351190721
"51","A2",37,"glucose","Glu",12.5,"Fermenter",5.68152313894682e-12,5153.5752436786
"52","A2",37,"galactose","Glu",12.5,"Fermenter",0.00057414025740631,-34.3585132529236
"53","A2",37,"fructose","Glu",12.5,"Fermenter",0.00220845462079641,-11.6851821700814
"54","A2",37,"ribose","Glu",12.5,"Fermenter",0.0118193219374989,-0.500003471342535
"55","A2",42,"glucose","Glu",12.5,"Fermenter",0.00264504472536766,-0.124159065009678
"56","A2",42,"galactose","Glu",12.5,"Fermenter",0.00106574219081033,6.44291950995008
"57","A2",42,"fructose","Glu",12.5,"Fermenter",0.00191043521333403,-4.57958719232177
"58","A3",12,"glucose","Gal",12.5,"Fermenter",0.111110146714909,5.83952713955358
"59","A3",12,"galactose","Gal",12.5,"Fermenter",0.109250000956127,10.1363087471871
"60","A3",12,"fructose","Gal",12.5,"Fermenter",0.124184881130232,10.8902853971837
"61","A3",12,"ribose","Gal",12.5,"Fermenter",0.0932684285154259,17.5817918131059
"62","A3",22,"glucose","Gal",12.5,"Fermenter",0.182573255171195,2.1906355794638
"63","A3",22,"galactose","Gal",12.5,"Fermenter",0.168532624700691,1.90353487746922
"64","A3",22,"fructose","Gal",12.5,"Fermenter",0.198958550048823,0.169377441527777
"65","A3",22,"ribose","Gal",12.5,"Fermenter",0.114337057913337,2.71878038463291
"66","A3",30,"glucose","Gal",12.5,"Fermenter",0.198952085910143,3.47282609673435
"67","A3",30,"galactose","Gal",12.5,"Fermenter",0.166587303001109,4.6558552696308
"68","A3",30,"fructose","Gal",12.5,"Fermenter",0.211898211222149,1.33516945881087
"69","A3",30,"ribose","Gal",12.5,"Fermenter",0.229558721477721,6.48234565230718
