t,well,abs,carbon_source,tmp
0,A1,0.04,glucose,37
600,A1,0.041,glucose,37
1200,A1,0.041,glucose,37
1800,A1,0.04,glucose,37
2400,A1,0.041,glucose,37
3000,A1,0.04,glucose,37
3600,A1,0.04,glucose,37
4200,A1,0.041,glucose,37
4800,A1,0.04,glucose,37
5400,A1,0.041,glucose,37
6000,A1,0.04,glucose,37
6600,A1,0.04,glucose,37
7200,A1,0.04,glucose,37
7800,A1,0.041,glucose,37
8400,A1,0.04,glucose,37
9000,A1,0.041,glucose,37
9600,A1,0.04,glucose,37
10200,A1,0.04,glucose,37
10800,A1,0.04,glucose,37
11400,A1,0.041,glucose,37
12000,A1,0.04,glucose,37
12600,A1,0.04,glucose,37
13200,A1,0.04,glucose,37
13800,A1,0.04,glucose,37
14400,A1,0.04,glucose,37
15000,A1,0.04,glucose,37
15600,A1,0.04,glucose,37
16200,A1,0.04,glucose,37
16800,A1,0.04,glucose,37
17400,A1,0.04,glucose,37
18000,A1,0.041,glucose,37
18600,A1,0.041,glucose,37
19200,A1,0.04,glucose,37
19800,A1,0.04,glucose,37
20400,A1,0.04,glucose,37
21000,A1,0.04,glucose,37
21600,A1,0.04,glucose,37
22200,A1,0.041,glucose,37
22800,A1,0.041,glucose,37
23400,A1,0.041,glucose,37
24000,A1,0.04,glucose,37
24600,A1,0.041,glucose,37
25200,A1,0.041,glucose,37
25800,A1,0.04,glucose,37
26400,A1,0.041,glucose,37
27000,A1,0.041,glucose,37
27600,A1,0.041,glucose,37
28200,A1,0.041,glucose,37
28800,A1,0.04,glucose,37
29400,A1,0.04,glucose,37
30000,A1,0.04,glucose,37
30600,A1,0.04,glucose,37
31200,A1,0.04,glucose,37
31800,A1,0.04,glucose,37
32400,A1,0.04,glucose,37
33000,A1,0.04,glucose,37
33600,A1,0.04,glucose,37
34200,A1,0.04,glucose,37
34800,A1,0.041,glucose,37
35400,A1,0.041,glucose,37
36000,A1,0.04,glucose,37
36600,A1,0.04,glucose,37
37200,A1,0.041,glucose,37
37800,A1,0.041,glucose,37
38400,A1,0.04,glucose,37
39000,A1,0.04,glucose,37
39600,A1,0.04,glucose,37
40200,A1,0.041,glucose,37
40800,A1,0.04,glucose,37
41400,A1,0.041,glucose,37
42000,A1,0.04,glucose,37
42600,A1,0.04,glucose,37
43200,A1,0.04,glucose,37
43800,A1,0.04,glucose,37
44400,A1,0.041,glucose,37
45000,A1,0.041,glucose,37
45600,A1,0.041,glucose,37
46200,A1,0.04,glucose,37
46800,A1,0.041,glucose,37
47400,A1,0.04,glucose,37
48000,A1,0.04,glucose,37
48600,A1,0.041,glucose,37
49200,A1,0.04,glucose,37
49800,A1,0.039,glucose,37
50400,A1,0.04,glucose,37
51000,A1,0.039,glucose,37
51600,A1,0.04,glucose,37
52200,A1,0.04,glucose,37
52800,A1,0.04,glucose,37
53400,A1,0.04,glucose,37
54000,A1,0.04,glucose,37
54600,A1,0.041,glucose,37
55200,A1,0.04,glucose,37
55800,A1,0.04,glucose,37
56400,A1,0.041,glucose,37
57000,A1,0.04,glucose,37
57600,A1,0.041,glucose,37
58200,A1,0.04,glucose,37
58800,A1,0.04,glucose,37
59400,A1,0.039,glucose,37
60000,A1,0.04,glucose,37
60600,A1,0.04,glucose,37
61200,A1,0.04,glucose,37
61800,A1,0.04,glucose,37
62400,A1,0.04,glucose,37
63000,A1,0.041,glucose,37
63600,A1,0.04,glucose,37
64200,A1,0.041,glucose,37
64800,A1,0.04,glucose,37
65400,A1,0.04,glucose,37
66000,A1,0.041,glucose,37
66600,A1,0.041,glucose,37
67200,A1,0.041,glucose,37
67800,A1,0.04,glucose,37
68400,A1,0.04,glucose,37
69000,A1,0.042,glucose,37
69600,A1,0.04,glucose,37
70200,A1,0.041,glucose,37
70800,A1,0.04,glucose,37
71400,A1,0.04,glucose,37
72000,A1,0.041,glucose,37
72600,A1,0.04,glucose,37
73200,A1,0.04,glucose,37
73800,A1,0.04,glucose,37
74400,A1,0.04,glucose,37
75000,A1,0.039,glucose,37
75600,A1,0.041,glucose,37
76200,A1,0.04,glucose,37
76800,A1,0.04,glucose,37
77400,A1,0.041,glucose,37
78000,A1,0.04,glucose,37
78600,A1,0.04,glucose,37
79200,A1,0.039,glucose,37
79800,A1,0.04,glucose,37
80400,A1,0.04,glucose,37
81000,A1,0.041,glucose,37
81600,A1,0.04,glucose,37
82200,A1,0.041,glucose,37
82800,A1,0.041,glucose,37
83400,A1,0.04,glucose,37
84000,A1,0.04,glucose,37
84600,A1,0.04,glucose,37
85200,A1,0.041,glucose,37
85800,A1,0.041,glucose,37
86400,A1,0.04,glucose,37
87000,A1,0.04,glucose,37
87600,A1,0.04,glucose,37
88200,A1,0.04,glucose,37
88800,A1,0.04,glucose,37
89400,A1,0.04,glucose,37
90000,A1,0.04,glucose,37
90600,A1,0.041,glucose,37
91200,A1,0.041,glucose,37
91800,A1,0.04,glucose,37
92400,A1,0.04,glucose,37
93000,A1,0.04,glucose,37
93600,A1,0.04,glucose,37
94200,A1,0.04,glucose,37
94800,A1,0.04,glucose,37
95400,A1,0.041,glucose,37
96000,A1,0.04,glucose,37
96600,A1,0.04,glucose,37
97200,A1,0.04,glucose,37
97800,A1,0.04,glucose,37
98400,A1,0.04,glucose,37
99000,A1,0.042,glucose,37
99600,A1,0.04,glucose,37
100200,A1,0.04,glucose,37
100800,A1,0.041,glucose,37
101400,A1,0.037,glucose,37
102000,A1,0.038,glucose,37
102600,A1,0.04,glucose,37
103200,A1,0.04,glucose,37
103800,A1,0.038,glucose,37
104400,A1,0.037,glucose,37
105000,A1,0.038,glucose,37
105600,A1,0.036,glucose,37
106200,A1,0.036,glucose,37
106800,A1,0.037,glucose,37
107400,A1,0.037,glucose,37
108000,A1,0.037,glucose,37
108600,A1,0.037,glucose,37
109200,A1,0.038,glucose,37
109800,A1,0.038,glucose,37
110400,A1,0.039,glucose,37
111000,A1,0.038,glucose,37
111600,A1,0.038,glucose,37
112200,A1,0.037,glucose,37
112800,A1,0.038,glucose,37
113400,A1,0.038,glucose,37
114000,A1,0.038,glucose,37
114600,A1,0.043,glucose,37
115200,A1,0.046,glucose,37
115800,A1,0.047,glucose,37
116400,A1,0.046,glucose,37
117000,A1,0.047,glucose,37
117600,A1,0.047,glucose,37
118200,A1,0.046,glucose,37
118800,A1,0.047,glucose,37
119400,A1,0.047,glucose,37
120000,A1,0.048,glucose,37
120600,A1,0.047,glucose,37
121200,A1,0.047,glucose,37
121800,A1,0.047,glucose,37
122400,A1,0.047,glucose,37
123000,A1,0.048,glucose,37
123600,A1,0.047,glucose,37
124200,A1,0.047,glucose,37
124800,A1,0.048,glucose,37
125400,A1,0.047,glucose,37
126000,A1,0.047,glucose,37
126600,A1,0.047,glucose,37
127200,A1,0.047,glucose,37
127800,A1,0.047,glucose,37
128400,A1,0.048,glucose,37
129000,A1,0.047,glucose,37
129600,A1,0.047,glucose,37
130200,A1,0.047,glucose,37
130800,A1,0.047,glucose,37
131400,A1,0.047,glucose,37
132000,A1,0.048,glucose,37
132600,A1,0.047,glucose,37
133200,A1,0.047,glucose,37
133800,A1,0.047,glucose,37
134400,A1,0.047,glucose,37
135000,A1,0.047,glucose,37
135600,A1,0.047,glucose,37
136200,A1,0.047,glucose,37
136800,A1,0.047,glucose,37
137400,A1,0.048,glucose,37
138000,A1,0.047,glucose,37
138600,A1,0.047,glucose,37
139200,A1,0.047,glucose,37
139800,A1,0.047,glucose,37
140400,A1,0.047,glucose,37
141000,A1,0.047,glucose,37
141600,A1,0.047,glucose,37
142200,A1,0.047,glucose,37
142800,A1,0.048,glucose,37
143400,A1,0.047,glucose,37
144000,A1,0.048,glucose,37
144600,A1,0.047,glucose,37
145200,A1,0.047,glucose,37
145800,A1,0.047,glucose,37
146400,A1,0.047,glucose,37
147000,A1,0.046,glucose,37
147600,A1,0.046,glucose,37
148200,A1,0.047,glucose,37
148800,A1,0.047,glucose,37
149400,A1,0.048,glucose,37
150000,A1,0.047,glucose,37
150600,A1,0.047,glucose,37
151200,A1,0.047,glucose,37
151800,A1,0.047,glucose,37
152400,A1,0.046,glucose,37
153000,A1,0.047,glucose,37
153600,A1,0.047,glucose,37
154200,A1,0.047,glucose,37
154800,A1,0.048,glucose,37
155400,A1,0.047,glucose,37
156000,A1,0.047,glucose,37
156600,A1,0.047,glucose,37
157200,A1,0.047,glucose,37
157800,A1,0.047,glucose,37
158400,A1,0.047,glucose,37
159000,A1,0.047,glucose,37
159600,A1,0.048,glucose,37
160200,A1,0.047,glucose,37
160800,A1,0.047,glucose,37
161400,A1,0.047,glucose,37
162000,A1,0.048,glucose,37
162600,A1,0.047,glucose,37
163200,A1,0.048,glucose,37
163800,A1,0.046,glucose,37
164400,A1,0.046,glucose,37
165000,A1,0.047,glucose,37
165600,A1,0.046,glucose,37
166200,A1,0.047,glucose,37
166800,A1,0.048,glucose,37
167400,A1,0.047,glucose,37
168000,A1,0.047,glucose,37
168600,A1,0.048,glucose,37
169200,A1,0.047,glucose,37
169800,A1,0.048,glucose,37
170400,A1,0.047,glucose,37
171000,A1,0.048,glucose,37
171600,A1,0.046,glucose,37
172200,A1,0.047,glucose,37
172800,A1,0.047,glucose,37
0,A2,0.04,glucose,37
600,A2,0.039,glucose,37
1200,A2,0.04,glucose,37
1800,A2,0.039,glucose,37
2400,A2,0.04,glucose,37
3000,A2,0.039,glucose,37
3600,A2,0.039,glucose,37
4200,A2,0.039,glucose,37
4800,A2,0.038,glucose,37
5400,A2,0.04,glucose,37
6000,A2,0.039,glucose,37
6600,A2,0.04,glucose,37
7200,A2,0.039,glucose,37
7800,A2,0.039,glucose,37
8400,A2,0.04,glucose,37
9000,A2,0.039,glucose,37
9600,A2,0.04,glucose,37
10200,A2,0.039,glucose,37
10800,A2,0.039,glucose,37
11400,A2,0.04,glucose,37
12000,A2,0.039,glucose,37
12600,A2,0.04,glucose,37
13200,A2,0.04,glucose,37
13800,A2,0.04,glucose,37
14400,A2,0.039,glucose,37
15000,A2,0.039,glucose,37
15600,A2,0.039,glucose,37
16200,A2,0.039,glucose,37
16800,A2,0.039,glucose,37
17400,A2,0.039,glucose,37
18000,A2,0.039,glucose,37
18600,A2,0.039,glucose,37
19200,A2,0.039,glucose,37
19800,A2,0.039,glucose,37
20400,A2,0.04,glucose,37
21000,A2,0.04,glucose,37
21600,A2,0.04,glucose,37
22200,A2,0.04,glucose,37
22800,A2,0.039,glucose,37
23400,A2,0.039,glucose,37
24000,A2,0.04,glucose,37
24600,A2,0.04,glucose,37
25200,A2,0.039,glucose,37
25800,A2,0.04,glucose,37
26400,A2,0.04,glucose,37
27000,A2,0.039,glucose,37
27600,A2,0.04,glucose,37
28200,A2,0.04,glucose,37
28800,A2,0.04,glucose,37
29400,A2,0.04,glucose,37
30000,A2,0.04,glucose,37
30600,A2,0.04,glucose,37
31200,A2,0.039,glucose,37
31800,A2,0.04,glucose,37
32400,A2,0.04,glucose,37
33000,A2,0.039,glucose,37
33600,A2,0.039,glucose,37
34200,A2,0.04,glucose,37
34800,A2,0.04,glucose,37
35400,A2,0.04,glucose,37
36000,A2,0.04,glucose,37
36600,A2,0.039,glucose,37
37200,A2,0.04,glucose,37
37800,A2,0.039,glucose,37
38400,A2,0.04,glucose,37
39000,A2,0.039,glucose,37
39600,A2,0.039,glucose,37
40200,A2,0.039,glucose,37
40800,A2,0.039,glucose,37
41400,A2,0.041,glucose,37
42000,A2,0.04,glucose,37
42600,A2,0.04,glucose,37
43200,A2,0.04,glucose,37
43800,A2,0.039,glucose,37
44400,A2,0.039,glucose,37
45000,A2,0.039,glucose,37
45600,A2,0.039,glucose,37
46200,A2,0.04,glucose,37
46800,A2,0.039,glucose,37
47400,A2,0.04,glucose,37
48000,A2,0.039,glucose,37
48600,A2,0.039,glucose,37
49200,A2,0.039,glucose,37
49800,A2,0.039,glucose,37
50400,A2,0.04,glucose,37
51000,A2,0.04,glucose,37
51600,A2,0.04,glucose,37
52200,A2,0.04,glucose,37
52800,A2,0.04,glucose,37
53400,A2,0.04,glucose,37
54000,A2,0.039,glucose,37
54600,A2,0.04,glucose,37
55200,A2,0.04,glucose,37
55800,A2,0.039,glucose,37
56400,A2,0.039,glucose,37
57000,A2,0.04,glucose,37
57600,A2,0.039,glucose,37
58200,A2,0.039,glucose,37
58800,A2,0.039,glucose,37
59400,A2,0.039,glucose,37
60000,A2,0.039,glucose,37
60600,A2,0.04,glucose,37
61200,A2,0.04,glucose,37
61800,A2,0.039,glucose,37
62400,A2,0.039,glucose,37
63000,A2,0.039,glucose,37
63600,A2,0.04,glucose,37
64200,A2,0.04,glucose,37
64800,A2,0.04,glucose,37
65400,A2,0.04,glucose,37
66000,A2,0.039,glucose,37
66600,A2,0.04,glucose,37
67200,A2,0.039,glucose,37
67800,A2,0.039,glucose,37
68400,A2,0.039,glucose,37
69000,A2,0.04,glucose,37
69600,A2,0.04,glucose,37
70200,A2,0.04,glucose,37
70800,A2,0.04,glucose,37
71400,A2,0.04,glucose,37
72000,A2,0.039,glucose,37
72600,A2,0.039,glucose,37
73200,A2,0.039,glucose,37
73800,A2,0.04,glucose,37
74400,A2,0.039,glucose,37
75000,A2,0.039,glucose,37
75600,A2,0.039,glucose,37
76200,A2,0.039,glucose,37
76800,A2,0.04,glucose,37
77400,A2,0.039,glucose,37
78000,A2,0.039,glucose,37
78600,A2,0.04,glucose,37
79200,A2,0.039,glucose,37
79800,A2,0.039,glucose,37
