well,abs,t,carbon_source,tmp
A1,0.036,0,glucose,42
A1,0.037,600,glucose,42
A1,0.036,1200,glucose,42
A1,0.036,1800,glucose,42
A1,0.036,2400,glucose,42
A1,0.036,3000,glucose,42
A1,0.036,3600,glucose,42
A1,0.036,4200,glucose,42
A1,0.036,4800,glucose,42
A1,0.036,5400,glucose,42
A1,0.036,6000,glucose,42
A1,0.036,6600,glucose,42
A1,0.036,7200,glucose,42
A1,0.036,7800,glucose,42
A1,0.036,8400,glucose,42
A1,0.036,9000,glucose,42
A1,0.036,9600,glucose,42
A1,0.036,10200,glucose,42
A1,0.036,10800,glucose,42
A1,0.036,11400,glucose,42
A1,0.036,12000,glucose,42
A1,0.036,12600,glucose,42
A1,0.036,13200,glucose,42
A1,0.036,13800,glucose,42
A1,0.036,14400,glucose,42
A1,0.036,15000,glucose,42
A1,0.036,15600,glucose,42
A1,0.036,16200,glucose,42
A1,0.036,16800,glucose,42
A1,0.036,17400,glucose,42
A1,0.036,18000,glucose,42
A1,0.036,18600,glucose,42
A1,0.036,19200,glucose,42
A1,0.036,19800,glucose,42
A1,0.036,20400,glucose,42
A1,0.036,21000,glucose,42
A1,0.036,21600,glucose,42
A1,0.036,22200,glucose,42
A1,0.036,22800,glucose,42
A1,0.036,23400,glucose,42
A1,0.036,24000,glucose,42
A1,0.036,24600,glucose,42
A1,0.036,25200,glucose,42
A1,0.036,25800,glucose,42
A1,0.036,26400,glucose,42
A1,0.036,27000,glucose,42
A1,0.036,27600,glucose,42
A1,0.036,28200,glucose,42
A1,0.036,28800,glucose,42
A1,0.036,29400,glucose,42
A1,0.036,30000,glucose,42
A1,0.036,30600,glucose,42
A1,0.036,31200,glucose,42
A1,0.036,31800,glucose,42
A1,0.036,32400,glucose,42
A1,0.036,33000,glucose,42
A1,0.036,33600,glucose,42
A1,0.036,34200,glucose,42
A1,0.036,34800,glucose,42
A1,0.036,35400,glucose,42
A1,0.036,36000,glucose,42
A1,0.036,36600,glucose,42
A1,0.036,37200,glucose,42
A1,0.036,37800,glucose,42
A1,0.036,38400,glucose,42
A1,0.036,39000,glucose,42
A1,0.036,39600,glucose,42
A1,0.036,40200,glucose,42
A1,0.037,40800,glucose,42
A1,0.036,41400,glucose,42
A1,0.037,42000,glucose,42
A1,0.037,42600,glucose,42
A1,0.037,43200,glucose,42
A1,0.036,43800,glucose,42
A1,0.037,44400,glucose,42
A1,0.036,45000,glucose,42
A1,0.036,45600,glucose,42
A1,0.036,46200,glucose,42
A1,0.036,46800,glucose,42
A1,0.036,47400,glucose,42
A1,0.036,48000,glucose,42
A1,0.036,48600,glucose,42
A1,0.037,49200,glucose,42
A1,0.036,49800,glucose,42
A1,0.036,50400,glucose,42
A1,0.036,51000,glucose,42
A1,0.037,51600,glucose,42
A1,0.036,52200,glucose,42
A1,0.036,52800,glucose,42
A1,0.036,53400,glucose,42
A1,0.036,54000,glucose,42
A1,0.036,54600,glucose,42
A1,0.036,55200,glucose,42
A1,0.036,55800,glucose,42
A1,0.037,56400,glucose,42
A1,0.037,57000,glucose,42
A1,0.037,57600,glucose,42
A1,0.037,58200,glucose,42
A1,0.036,58800,glucose,42
A1,0.037,59400,glucose,42
A1,0.036,60000,glucose,42
A1,0.036,60600,glucose,42
A1,0.036,61200,glucose,42
A1,0.036,61800,glucose,42
A1,0.037,62400,glucose,42
A1,0.036,63000,glucose,42
A1,0.037,63600,glucose,42
A1,0.036,64200,glucose,42
A1,0.037,64800,glucose,42
A1,0.037,65400,glucose,42
A1,0.036,66000,glucose,42
A1,0.036,66600,glucose,42
A1,0.036,67200,glucose,42
A1,0.036,67800,glucose,42
A1,0.036,68400,glucose,42
A1,0.036,69000,glucose,42
A1,0.037,69600,glucose,42
A1,0.036,70200,glucose,42
A1,0.036,70800,glucose,42
A1,0.036,71400,glucose,42
A1,0.036,72000,glucose,42
A1,0.036,72600,glucose,42
A1,0.036,73200,glucose,42
A1,0.036,73800,glucose,42
A1,0.037,74400,glucose,42
A1,0.036,75000,glucose,42
A1,0.036,75600,glucose,42
A1,0.036,76200,glucose,42
A1,0.036,76800,glucose,42
A1,0.036,77400,glucose,42
A1,0.036,78000,glucose,42
A1,0.036,78600,glucose,42
A1,0.036,79200,glucose,42
A1,0.036,79800,glucose,42
A1,0.036,80400,glucose,42
A1,0.036,81000,glucose,42
A1,0.036,81600,glucose,42
A1,0.036,82200,glucose,42
A1,0.036,82800,glucose,42
A1,0.036,83400,glucose,42
A1,0.036,84000,glucose,42
A1,0.036,84600,glucose,42
A1,0.037,85200,glucose,42
A1,0.036,85800,glucose,42
A1,0.037,86400,glucose,42
A1,0.037,87000,glucose,42
A1,0.037,87600,glucose,42
A1,0.037,88200,glucose,42
A1,0.037,88800,glucose,42
A1,0.036,89400,glucose,42
A1,0.036,90000,glucose,42
A1,0.036,90600,glucose,42
A1,0.037,91200,glucose,42
A1,0.036,91800,glucose,42
A1,0.037,92400,glucose,42
A1,0.037,93000,glucose,42
A1,0.037,93600,glucose,42
A1,0.037,94200,glucose,42
A1,0.037,94800,glucose,42
A1,0.037,95400,glucose,42
A1,0.037,96000,glucose,42
A1,0.036,96600,glucose,42
