well,SangerID,carbon,temperature,color,Fermenter
A01,NA,NA,NA,NA,NA
A02,894,Glu,12.5,blue,Fermenter
A03,898,Gal,12.5,blue,Fermenter
A04,900,Glu,42,blue,Fermenter
A05,904,Gal,42,blue,Fermenter
A06,916,Glu,37.7,blue,Fermenter
A07,920,Gal,37.7,blue,Fermenter
A08,932,Glu,30,blue,Fermenter
A09,936,Gal,30,blue,Fermenter
A10,945,Glu,22,blue,Fermenter
A11,947,Gal,22,blue,Fermenter
A12,NA,NA,NA,NA,NA
B01,NA,NA,NA,NA,NA
B02,895,Glu,12.5,blue,Fermenter
B03,899,Gal,12.5,blue,Fermenter
B04,901,Glu,42,blue,Fermenter
B05,905,Gal,42,blue,Fermenter
B06,917,Glu,37.7,blue,Fermenter
B07,921,Gal,37.7,blue,Fermenter
B08,933,Glu,30,red,Fermenter
B09,937,Gal,30,blue,Fermenter
B10,946,Glu,22,blue,Fermenter
B11,948,Gal,22,blue,Fermenter
B12,NA,NA,NA,NA,NA
C01,NA,NA,NA,NA,NA
C02,896,Glu,12.5,white,Respirator
C03,890,Gal,12.5,white,Respirator
C04,902,Glu,42,white,Respirator
C05,906,Gal,42,white,Respirator
C06,918,Glu,37.7,white,Respirator
C07,922,Gal,37.7,white,Respirator
C08,934,Glu,30,white,Respirator
C09,938,Gal,30,blue,Fermenter
C10,Pput,NA,NA,white,Respirator
C11,NA,NA,NA,NA,NA
C12,NA,NA,NA,NA,NA
D01,NA,NA,NA,NA,NA
D02,897,Rib,12.5,blue,Fermenter
D03,891,Gal,12.5,white,Respirator
D04,903,Glu,42,white,Respirator
D05,907,Gal,42,white,Respirator
D06,919,Glu,37.7,white,NA
D07,923,Gal,37.7,white,Respirator
D08,935,Glu,30,white,Respirator
D09,939,Gal,30,blue,NA
D10,Ecoli,NA,NA,Pink ,Fermenter
D11,NA,NA,NA,NA,NA
D12,NA,NA,NA,NA,NA
E01,NA,NA,NA,NA,NA
E02,892,Fru,12.5,blue,Fermenter
E03,896,Rib,12.5,blue,Fermenter
E04,908,Fru,42,blue,Fermenter
E05,912,Rib,42,blue,Fermenter
E06,924,Fru,37.7,blue,Fermenter
E07,928,Rib,37.7,blue,Fermenter
E08,940,Fru,30,blue,Fermenter
E09,943,Rib,30,blue,Fermenter
E10,949,Fru,22,blue,Fermenter
E11,951,Rib,22,blue,Fermenter
E12,NA,NA,NA,NA,NA
F01,NA,NA,NA,NA,NA
F02,893,Fru,12.5,blue,Fermenter
F03,897,Rib,12.5,blue,Fermenter
F04,809,Fru,42,blue,Fermenter
F05,913,Rib,42,blue,Fermenter
F06,925,Fru,37.7,blue,Fermenter
F07,929,Rib,37.7,blue,Fermenter
F08,941,Fru,30,blue,Fermenter
F09,944,Rib,30,blue,Fermenter
F10,950,Fru,22,blue,Fermenter
F11,952,Rib,22,blue,Fermenter
F12,NA,NA,NA,NA,NA
G01,NA,NA,NA,NA,NA
G02,894,Fru,12.5,white,Respirator
G03,898,Rib,12.5,white,Respirator
G04,910,Fru,42,white,Respirator
G05,914,Rib,42,white,Respirator
G06,926,Fru,37.7,white,Respirator
G07,930,Rib,37.7,white,Respirator
G08,NA,NA,NA,NA,NA
G09,942,Fru,30,blue,Fermenter
G10,NA,NA,NA,NA,NA
G11,953,Rib,22,blue,Fermenter
G12,NA,NA,NA,NA,NA
H01,NA,NA,NA,NA,NA
H02,895,Fru,12.5,white,NA
H03,899,Rib,12.5,white,Respirator
H04,911,Fru,42,white,Respirator
H05,915,Rib,42,white,Respirator
H06,927,Fru,37.7,white,Respirator
H07,931,Rib,37.7,white,Respirator
H08,680,Glu,30,white,Respirator
H09,NA,NA,NA,NA,NA
H10,NA,NA,NA,NA,NA
H11,675,Rib,22,white,Respirator
H12,NA,NA,NA,NA,NA
