Temperature,Dilution,Pair,Replicate,Blue,White
20,-8,1,1,231,102
20,-8,1,2,109,68
20,-8,1,3,214,124
20,-8,2,1,0,1
20,-8,2,2,0,1
20,-8,2,3,0,1
20,-8,3,1,345,135
20,-8,3,2,NA,NA
20,-8,3,3,189,94
20,-8,4,1,0,1
20,-8,4,2,0,1
20,-8,4,3,0,1
20,-8,5,1,7,234
20,-8,5,2,6,246
20,-8,5,3,2,145
20,-8,6,1,0,1
20,-8,6,2,0,1
20,-8,6,3,0,1
20,-8,7,1,176,85
20,-8,7,2,73,19
20,-8,7,3,100,14
20,-8,8,1,253,63
20,-8,8,2,288,83
20,-8,8,3,189,56
20,-8,9,1,312,50
20,-8,9,2,NA,NA
20,-8,9,3,401,39
20,-8,10,1,0,1
20,-8,10,2,0,1
20,-8,10,3,0,1
20,-8,11,1,NA,NA
20,-8,11,2,NA,NA
20,-8,11,3,NA,NA
20,-8,12,1,0,1
20,-8,12,2,0,1
20,-8,12,3,0,1
20,-8,13,1,194,62
20,-8,13,2,167,75
20,-8,13,3,NA,NA
20,-8,14,1,2,325
20,-8,14,2,1,239
20,-8,14,3,6,343
25,-8,1,1,61,80
25,-8,1,2,59,64
25,-8,1,3,69,84
25,-8,2,1,153,57
25,-8,2,2,NA,NA
25,-8,2,3,NA,NA
25,-8,3,1,98,107
25,-8,3,2,89,92
25,-8,3,3,82,95
25,-8,4,1,0,1
25,-8,4,2,0,1
25,-8,4,3,0,1
25,-8,5,1,0,1
25,-8,5,2,0,1
25,-8,5,3,0,1
25,-8,6,1,0,1
25,-8,6,2,0,1
25,-8,6,3,0,1
25,-8,7,1,254,32
25,-8,7,2,151,14
25,-8,7,3,260,14
25,-8,8,1,179,57
25,-8,8,2,220,63
25,-8,8,3,160,37
25,-8,9,1,284,18
25,-8,9,2,NA,NA
25,-8,9,3,NA,NA
25,-8,10,1,109,52
25,-8,10,2,NA,NA
25,-8,10,3,393,118
25,-8,11,1,NA,NA
25,-8,11,2,NA,NA
25,-8,11,3,15,115
25,-8,12,1,1,123
25,-8,12,2,0,1
25,-8,12,3,0,1
25,-8,13,1,204,121
25,-8,13,2,162,94
25,-8,13,3,356,183
25,-8,14,1,NA,NA
25,-8,14,2,NA,NA
25,-8,14,3,174,4
30,-8,1,1,59,88
30,-8,1,2,63,138
30,-8,1,3,103,170
30,-8,2,1,360,55
30,-8,2,2,140,27
30,-8,2,3,167,24
30,-8,3,1,279,354
30,-8,3,2,172,179
30,-8,3,3,83,125
30,-8,4,1,0,1
30,-8,4,2,0,1
30,-8,4,3,0,1
30,-8,5,1,5,165
30,-8,5,2,1,111
30,-8,5,3,3,148
30,-8,6,1,1,118
30,-8,6,2,20,424
30,-8,6,3,3,358
30,-8,7,1,223,29
30,-8,7,2,146,9
30,-8,7,3,252,35
30,-8,8,1,245,82
30,-8,8,2,253,93
30,-8,8,3,135,36
30,-8,9,1,NA,NA
30,-8,9,2,NA,NA
30,-8,9,3,150,33
30,-8,10,1,217,144
30,-8,10,2,199,155
30,-8,10,3,155,60
30,-8,11,1,27,128
30,-8,11,2,58,216
30,-8,11,3,55,117
30,-8,12,1,3,157
30,-8,12,2,0,1
30,-8,12,3,0,1
30,-8,13,1,145,115
30,-8,13,2,164,126
30,-8,13,3,157,104
30,-8,14,1,1,0
30,-8,14,2,1,0
30,-8,14,3,1,0
