Plate,Well,Group,Type,Sample,Wavelength [Ex],Abs,Time [s]
TC_Amb,A01,Group 1,Unknown,Un0001,620,0.1016,13.69
TC_Amb,A02,Group 1,Unknown,Un0009,620,0.1668,13.71
TC_Amb,A03,Group 1,Unknown,Un0017,620,0.1205,13.73
TC_Amb,A04,Group 1,Unknown,Un0025,620,0.0888,13.75
TC_Amb,A05,Group 1,Unknown,Un0033,620,0.1333,13.76
TC_Amb,A06,Group 1,Unknown,Un0041,620,0.183,13.78
TC_Amb,A07,Group 1,Unknown,Un0049,620,0.1606,13.8
TC_Amb,A08,Group 1,Unknown,Un0057,620,0.1444,13.82
TC_Amb,A09,Group 1,Unknown,Un0065,620,0.1638,13.84
TC_Amb,A10,Group 1,Unknown,Un0073,620,0.1819,13.86
TC_Amb,A11,Group 1,Unknown,Un0081,620,0.1239,13.88
TC_Amb,A12,Group 1,Unknown,Un0089,620,0.1584,13.9
TC_Amb,B12,Group 1,Unknown,Un0090,620,0.1163,14.36
TC_Amb,B11,Group 1,Unknown,Un0082,620,0.1391,14.38
TC_Amb,B10,Group 1,Unknown,Un0074,620,0.1683,14.4
TC_Amb,B09,Group 1,Unknown,Un0066,620,0.1145,14.42
TC_Amb,B08,Group 1,Unknown,Un0058,620,0.1534,14.44
TC_Amb,B07,Group 1,Unknown,Un0050,620,0.1355,14.46
TC_Amb,B06,Group 1,Unknown,Un0042,620,0.1592,14.48
TC_Amb,B05,Group 1,Unknown,Un0034,620,0.1399,14.49
TC_Amb,B04,Group 1,Unknown,Un0026,620,0.191,14.51
TC_Amb,B03,Group 1,Unknown,Un0018,620,0.1311,14.53
TC_Amb,B02,Group 1,Unknown,Un0010,620,0.1597,14.55
TC_Amb,B01,Group 1,Unknown,Un0002,620,0.1174,14.57
TC_Amb,C01,Group 1,Unknown,Un0003,620,0.1569,15.12
TC_Amb,C02,Group 1,Unknown,Un0011,620,0.0798,15.14
TC_Amb,C03,Group 1,Unknown,Un0019,620,0.1027,15.16
TC_Amb,C04,Group 1,Unknown,Un0027,620,0.1489,15.18
TC_Amb,C05,Group 1,Unknown,Un0035,620,0.1072,15.2
TC_Amb,C06,Group 1,Unknown,Un0043,620,0.1442,15.22
TC_Amb,C07,Group 1,Unknown,Un0051,620,0.0673,15.24
TC_Amb,C08,Group 1,Unknown,Un0059,620,0.1578,15.26
TC_Amb,C09,Group 1,Unknown,Un0067,620,0.115,15.28
TC_Amb,C10,Group 1,Unknown,Un0075,620,0.1502,15.3
TC_Amb,C11,Group 1,Unknown,Un0083,620,0.1597,15.32
TC_Amb,C12,Group 1,Unknown,Un0091,620,0.1165,15.33
TC_Amb,D12,Group 1,Unknown,Un0092,620,0.0878,15.8
TC_Amb,D11,Group 1,Unknown,Un0084,620,0.0575,15.82
TC_Amb,D10,Group 1,Unknown,Un0076,620,0.0892,15.83
TC_Amb,D09,Group 1,Unknown,Un0068,620,0.0877,15.85
TC_Amb,D08,Group 1,Unknown,Un0060,620,0.0851,15.87
TC_Amb,D07,Group 1,Unknown,Un0052,620,0.0631,15.89
TC_Amb,D06,Group 1,Unknown,Un0044,620,0.1012,15.91
TC_Amb,D05,Group 1,Unknown,Un0036,620,0.0772,15.93
TC_Amb,D04,Group 1,Unknown,Un0028,620,0.1148,15.95
TC_Amb,D03,Group 1,Unknown,Un0020,620,0.0798,15.97
TC_Amb,D02,Group 1,Unknown,Un0012,620,0.0852,15.99
TC_Amb,D01,Group 1,Unknown,Un0004,620,0.1166,16.01
TC_Amb,E01,Group 1,Unknown,Un0005,620,0.1554,16.56
TC_Amb,E02,Group 1,Unknown,Un0013,620,0.1365,16.58
TC_Amb,E03,Group 1,Unknown,Un0021,620,0.051,16.6
TC_Amb,E04,Group 1,Unknown,Un0029,620,0.1225,16.62
TC_Amb,E05,Group 1,Unknown,Un0037,620,0.1322,16.64
TC_Amb,E06,Group 1,Unknown,Un0045,620,0.0865,16.66
TC_Amb,E07,Group 1,Unknown,Un0053,620,0.0356,16.67
TC_Amb,E08,Group 1,Unknown,Un0061,620,0.2358,16.69
TC_Amb,E09,Group 1,Unknown,Un0069,620,0.1115,16.71
TC_Amb,E10,Group 1,Unknown,Un0077,620,0.2516,16.73
TC_Amb,E11,Group 1,Unknown,Un0085,620,0.0962,16.75
TC_Amb,E12,Group 1,Unknown,Un0093,620,0.038,16.77
TC_Amb,F12,Group 1,Unknown,Un0094,620,0.0368,17.23
TC_Amb,F11,Group 1,Unknown,Un0086,620,0.0753,17.25
TC_Amb,F10,Group 1,Unknown,Un0078,620,0.1558,17.27
TC_Amb,F09,Group 1,Unknown,Un0070,620,0.0841,17.29
TC_Amb,F08,Group 1,Unknown,Un0062,620,0.2041,17.31
TC_Amb,F07,Group 1,Unknown,Un0054,620,0.0351,17.33
TC_Amb,F06,Group 1,Unknown,Un0046,620,0.0906,17.35
TC_Amb,F05,Group 1,Unknown,Un0038,620,0.1754,17.37
TC_Amb,F04,Group 1,Unknown,Un0030,620,0.0989,17.39
