Plate ,Well,Group,Type   ,Sample     ,Wavelength,Abs  ,Meas. Time [s]
TC_Amb, A01,Assay,Unknown,Un_0001 1/1,620,0.102,14.01
TC_Amb, B01,Assay,Unknown,Un_0002 1/1,620,0.142,14.89
TC_Amb, C01,Assay,Unknown,Un_0003 1/1,620,0.155,15.45
TC_Amb, D01,Assay,Unknown,Un_0004 1/1,620,0.162,16.33
TC_Amb, E01,Assay,Unknown,Un_0005 1/1,620,0.163,16.88
TC_Amb, F01,Assay,Unknown,Un_0006 1/1,620,0.14,17.77
TC_Amb, G01,Assay,Unknown,Un_0007 1/1,620,0.073,18.32
TC_Amb, H01,Assay,Unknown,Un_0008 1/1,620,0.163,19.2
TC_Amb, A02,Assay,Unknown,Un_0009 1/1,620,0.151,14.03
TC_Amb, B02,Assay,Unknown,Un_0010 1/1,620,0.15,14.87
TC_Amb, C02,Assay,Unknown,Un_0011 1/1,620,0.129,15.47
TC_Amb, D02,Assay,Unknown,Un_0012 1/1,620,0.124,16.31
TC_Amb, E02,Assay,Unknown,Un_0013 1/1,620,0.117,16.9
TC_Amb, F02,Assay,Unknown,Un_0014 1/1,620,0.134,17.75
TC_Amb, G02,Assay,Unknown,Un_0015 1/1,620,0.148,18.34
TC_Amb, H02,Assay,Unknown,Un_0016 1/1,620,0.119,19.18
TC_Amb, A03,Assay,Unknown,Un_0017 1/1,620,0.112,14.05
TC_Amb, B03,Assay,Unknown,Un_0018 1/1,620,0.137,14.85
TC_Amb, C03,Assay,Unknown,Un_0019 1/1,620,0.098,15.48
TC_Amb, D03,Assay,Unknown,Un_0020 1/1,620,0.128,16.29
TC_Amb, E03,Assay,Unknown,Un_0021 1/1,620,0.056,16.92
TC_Amb, F03,Assay,Unknown,Un_0022 1/1,620,0.11,17.73
TC_Amb, G03,Assay,Unknown,Un_0023 1/1,620,0.041,18.36
TC_Amb, H03,Assay,Unknown,Un_0024 1/1,620,0.057,19.16
TC_Amb, A04,Assay,Unknown,Un_0025 1/1,620,0.08,14.07
TC_Amb, B04,Assay,Unknown,Un_0026 1/1,620,0.153,14.83
TC_Amb, C04,Assay,Unknown,Un_0027 1/1,620,0.149,15.5
TC_Amb, D04,Assay,Unknown,Un_0028 1/1,620,0.129,16.27
TC_Amb, E04,Assay,Unknown,Un_0029 1/1,620,0.101,16.94
TC_Amb, F04,Assay,Unknown,Un_0030 1/1,620,0.108,17.71
TC_Amb, G04,Assay,Unknown,Un_0031 1/1,620,0.105,18.38
TC_Amb, H04,Assay,Unknown,Un_0032 1/1,620,0.096,19.15
TC_Amb, A05,Assay,Unknown,Un_0033 1/1,620,0.079,14.09
TC_Amb, B05,Assay,Unknown,Un_0034 1/1,620,0.13,14.81
TC_Amb, C05,Assay,Unknown,Un_0035 1/1,620,0.105,15.52
TC_Amb, D05,Assay,Unknown,Un_0036 1/1,620,0.13,16.25
