Plate ,Well,Group,Type   ,Sample     ,Wavelength,Abs  ,Meas. Time [s]
TC_Amb, A01,Assay,Unknown,Un_0001 1/1,620,0.111,7.02
TC_Amb, B01,Assay,Unknown,Un_0002 1/1,620,0.098,7.9
TC_Amb, C01,Assay,Unknown,Un_0003 1/1,620,0.035,8.45
TC_Amb, D01,Assay,Unknown,Un_0004 1/1,620,0.035,9.34
TC_Amb, E01,Assay,Unknown,Un_0005 1/1,620,0.137,9.89
TC_Amb, F01,Assay,Unknown,Un_0006 1/1,620,0.128,10.77
TC_Amb, G01,Assay,Unknown,Un_0007 1/1,620,0.18,11.33
TC_Amb, H01,Assay,Unknown,Un_0008 1/1,620,0.13,12.21
TC_Amb, A02,Assay,Unknown,Un_0009 1/1,620,0.132,7.04
TC_Amb, B02,Assay,Unknown,Un_0010 1/1,620,0.112,7.88
TC_Amb, C02,Assay,Unknown,Un_0011 1/1,620,0.035,8.47
TC_Amb, D02,Assay,Unknown,Un_0012 1/1,620,0.035,9.32
TC_Amb, E02,Assay,Unknown,Un_0013 1/1,620,0.159,9.91
TC_Amb, F02,Assay,Unknown,Un_0014 1/1,620,0.152,10.75
TC_Amb, G02,Assay,Unknown,Un_0015 1/1,620,0.181,11.34
TC_Amb, H02,Assay,Unknown,Un_0016 1/1,620,0.155,12.19
TC_Amb, A03,Assay,Unknown,Un_0017 1/1,620,0.128,7.06
TC_Amb, B03,Assay,Unknown,Un_0018 1/1,620,0.126,7.86
TC_Amb, C03,Assay,Unknown,Un_0019 1/1,620,0.034,8.49
TC_Amb, D03,Assay,Unknown,Un_0020 1/1,620,0.035,9.3
TC_Amb, E03,Assay,Unknown,Un_0021 1/1,620,0.039,9.93
TC_Amb, F03,Assay,Unknown,Un_0022 1/1,620,0.035,10.73
TC_Amb, G03,Assay,Unknown,Un_0023 1/1,620,0.035,11.36
TC_Amb, H03,Assay,Unknown,Un_0024 1/1,620,0.035,12.17
TC_Amb, A04,Assay,Unknown,Un_0025 1/1,620,0.115,7.08
TC_Amb, B04,Assay,Unknown,Un_0026 1/1,620,0.092,7.84
TC_Amb, C04,Assay,Unknown,Un_0027 1/1,620,0.034,8.51
TC_Amb, D04,Assay,Unknown,Un_0028 1/1,620,0.12,9.28
TC_Amb, E04,Assay,Unknown,Un_0029 1/1,620,0.12,9.95
TC_Amb, F04,Assay,Unknown,Un_0030 1/1,620,0.102,10.71
TC_Amb, G04,Assay,Unknown,Un_0031 1/1,620,0.151,11.38
TC_Amb, H04,Assay,Unknown,Un_0032 1/1,620,0.118,12.15
TC_Amb, A05,Assay,Unknown,Un_0033 1/1,620,0.137,7.09
TC_Amb, B05,Assay,Unknown,Un_0034 1/1,620,0.111,7.82
TC_Amb, C05,Assay,Unknown,Un_0035 1/1,620,0.034,8.53
TC_Amb, D05,Assay,Unknown,Un_0036 1/1,620,0.034,9.26
TC_Amb, E05,Assay,Unknown,Un_0037 1/1,620,0.115,9.97
TC_Amb, F05,Assay,Unknown,Un_0038 1/1,620,0.112,10.7
TC_Amb, G05,Assay,Unknown,Un_0039 1/1,620,0.179,11.4
TC_Amb, H05,Assay,Unknown,Un_0040 1/1,620,0.135,12.13
TC_Amb, A06,Assay,Unknown,Un_0041 1/1,620,0.125,7.11
TC_Amb, B06,Assay,Unknown,Un_0042 1/1,620,0.097,7.81
TC_Amb, C06,Assay,Unknown,Un_0043 1/1,620,0.119,8.55
TC_Amb, D06,Assay,Unknown,Un_0044 1/1,620,0.1,9.24
TC_Amb, E06,Assay,Unknown,Un_0045 1/1,620,0.091,9.99
TC_Amb, F06,Assay,Unknown,Un_0046 1/1,620,0.087,10.68
TC_Amb, G06,Assay,Unknown,Un_0047 1/1,620,0.101,11.42
TC_Amb, H06,Assay,Unknown,Un_0048 1/1,620,0.098,12.11
TC_Amb, A07,Assay,Unknown,Un_0049 1/1,620,0.11,7.13
TC_Amb, B07,Assay,Unknown,Un_0050 1/1,620,0.102,7.79
TC_Amb, C07,Assay,Unknown,Un_0051 1/1,620,0.034,8.57
TC_Amb, D07,Assay,Unknown,Un_0052 1/1,620,0.096,9.22
TC_Amb, E07,Assay,Unknown,Un_0053 1/1,620,0.054,10
TC_Amb, F07,Assay,Unknown,Un_0054 1/1,620,0.035,10.66
TC_Amb, G07,Assay,Unknown,Un_0055 1/1,620,0.036,11.44
TC_Amb, H07,Assay,Unknown,Un_0056 1/1,620,0.035,12.09
TC_Amb, A08,Assay,Unknown,Un_0057 1/1,620,0.122,7.15
TC_Amb, B08,Assay,Unknown,Un_0058 1/1,620,0.11,7.77
TC_Amb, C08,Assay,Unknown,Un_0059 1/1,620,0.124,8.59
TC_Amb, D08,Assay,Unknown,Un_0060 1/1,620,0.037,9.2
