Plate ,Well,Group,Type   ,Sample     ,Wavelength,Abs  ,Meas. Time [s]
TC_Amb, A01,Assay,Unknown,Un_0001 1/1,620,0.156,15
TC_Amb, B01,Assay,Unknown,Un_0002 1/1,620,0.123,15.88
TC_Amb, C01,Assay,Unknown,Un_0003 1/1,620,0.136,16.44
TC_Amb, D01,Assay,Unknown,Un_0004 1/1,620,0.185,17.32
TC_Amb, E01,Assay,Unknown,Un_0005 1/1,620,0.237,17.87
TC_Amb, F01,Assay,Unknown,Un_0006 1/1,620,0.198,18.76
TC_Amb, G01,Assay,Unknown,Un_0007 1/1,620,0.202,19.31
TC_Amb, H01,Assay,Unknown,Un_0008 1/1,620,0.209,20.19
TC_Amb, A02,Assay,Unknown,Un_0009 1/1,620,0.176,15.02
TC_Amb, B02,Assay,Unknown,Un_0010 1/1,620,0.142,15.86
TC_Amb, C02,Assay,Unknown,Un_0011 1/1,620,0.117,16.46
TC_Amb, D02,Assay,Unknown,Un_0012 1/1,620,0.034,17.3
TC_Amb, E02,Assay,Unknown,Un_0013 1/1,620,0.176,17.89
TC_Amb, F02,Assay,Unknown,Un_0014 1/1,620,0.127,18.74
TC_Amb, G02,Assay,Unknown,Un_0015 1/1,620,0.034,19.33
TC_Amb, H02,Assay,Unknown,Un_0016 1/1,620,0.133,20.17
TC_Amb, A03,Assay,Unknown,Un_0017 1/1,620,0.198,15.04
TC_Amb, B03,Assay,Unknown,Un_0018 1/1,620,0.157,15.84
TC_Amb, C03,Assay,Unknown,Un_0019 1/1,620,0.034,16.47
TC_Amb, D03,Assay,Unknown,Un_0020 1/1,620,0.034,17.28
TC_Amb, E03,Assay,Unknown,Un_0021 1/1,620,0.039,17.91
TC_Amb, F03,Assay,Unknown,Un_0022 1/1,620,0.081,18.72
TC_Amb, G03,Assay,Unknown,Un_0023 1/1,620,0.038,19.35
TC_Amb, H03,Assay,Unknown,Un_0024 1/1,620,0.038,20.15
TC_Amb, A04,Assay,Unknown,Un_0025 1/1,620,0.152,15.06
TC_Amb, B04,Assay,Unknown,Un_0026 1/1,620,0.154,15.82
TC_Amb, C04,Assay,Unknown,Un_0027 1/1,620,0.178,16.49
TC_Amb, D04,Assay,Unknown,Un_0028 1/1,620,0.149,17.26
TC_Amb, E04,Assay,Unknown,Un_0029 1/1,620,0.128,17.93
TC_Amb, F04,Assay,Unknown,Un_0030 1/1,620,0.123,18.7
TC_Amb, G04,Assay,Unknown,Un_0031 1/1,620,0.133,19.37
TC_Amb, H04,Assay,Unknown,Un_0032 1/1,620,0.107,20.13
TC_Amb, A05,Assay,Unknown,Un_0033 1/1,620,0.149,15.07
TC_Amb, B05,Assay,Unknown,Un_0034 1/1,620,0.173,15.8
TC_Amb, C05,Assay,Unknown,Un_0035 1/1,620,0.093,16.51
TC_Amb, D05,Assay,Unknown,Un_0036 1/1,620,0.163,17.24
TC_Amb, E05,Assay,Unknown,Un_0037 1/1,620,0.206,17.95
TC_Amb, F05,Assay,Unknown,Un_0038 1/1,620,0.169,18.68
TC_Amb, G05,Assay,Unknown,Un_0039 1/1,620,0.268,19.39
TC_Amb, H05,Assay,Unknown,Un_0040 1/1,620,0.136,20.12
TC_Amb, A06,Assay,Unknown,Un_0041 1/1,620,0.202,15.09
TC_Amb, B06,Assay,Unknown,Un_0042 1/1,620,0.167,15.79
TC_Amb, C06,Assay,Unknown,Un_0043 1/1,620,0.111,16.53
TC_Amb, D06,Assay,Unknown,Un_0044 1/1,620,0.169,17.22
TC_Amb, E06,Assay,Unknown,Un_0045 1/1,620,0.161,17.97
TC_Amb, F06,Assay,Unknown,Un_0046 1/1,620,0.153,18.66
TC_Amb, G06,Assay,Unknown,Un_0047 1/1,620,0.123,19.41
TC_Amb, H06,Assay,Unknown,Un_0048 1/1,620,0.104,20.1
TC_Amb, A07,Assay,Unknown,Un_0049 1/1,620,0.151,15.11
TC_Amb, B07,Assay,Unknown,Un_0050 1/1,620,0.162,15.77
TC_Amb, C07,Assay,Unknown,Un_0051 1/1,620,0.086,16.55
TC_Amb, D07,Assay,Unknown,Un_0052 1/1,620,0.117,17.2
TC_Amb, E07,Assay,Unknown,Un_0053 1/1,620,0.037,17.99
TC_Amb, F07,Assay,Unknown,Un_0054 1/1,620,0.035,18.64
TC_Amb, G07,Assay,Unknown,Un_0055 1/1,620,0.035,19.42
TC_Amb, H07,Assay,Unknown,Un_0056 1/1,620,0.036,20.08
TC_Amb, A08,Assay,Unknown,Un_0057 1/1,620,0.163,15.13
TC_Amb, B08,Assay,Unknown,Un_0058 1/1,620,0.18,15.75
TC_Amb, C08,Assay,Unknown,Un_0059 1/1,620,0.093,16.57
TC_Amb, D08,Assay,Unknown,Un_0060 1/1,620,0.118,17.18
TC_Amb, E08,Assay,Unknown,Un_0061 1/1,620,0.28,18.01
TC_Amb, F08,Assay,Unknown,Un_0062 1/1,620,0.213,18.62
TC_Amb, G08,Assay,Unknown,Un_0063 1/1,620,0.243,19.44
TC_Amb, H08,Assay,Unknown,Un_0064 1/1,620,0.227,20.06
TC_Amb, A09,Assay,Unknown,Un_0065 1/1,620,0.148,15.15
TC_Amb, B09,Assay,Unknown,Un_0066 1/1,620,0.172,15.73
TC_Amb, C09,Assay,Unknown,Un_0067 1/1,620,0.162,16.59
TC_Amb, D09,Assay,Unknown,Un_0068 1/1,620,0.132,17.17
TC_Amb, E09,Assay,Unknown,Un_0069 1/1,620,0.158,18.03
TC_Amb, F09,Assay,Unknown,Un_0070 1/1,620,0.096,18.6
TC_Amb, G09,Assay,Unknown,Un_0071 1/1,620,0.105,19.46
TC_Amb, H09,Assay,Unknown,Un_0072 1/1,620,0.136,20.04
TC_Amb, A10,Assay,Unknown,Un_0073 1/1,620,0.172,15.17
TC_Amb, B10,Assay,Unknown,Un_0074 1/1,620,0.155,15.71
TC_Amb, C10,Assay,Unknown,Un_0075 1/1,620,0.119,16.61
TC_Amb, D10,Assay,Unknown,Un_0076 1/1,620,0.172,17.15
TC_Amb, E10,Assay,Unknown,Un_0077 1/1,620,0.241,18.04
TC_Amb, F10,Assay,Unknown,Un_0078 1/1,620,0.163,18.58
TC_Amb, G10,Assay,Unknown,Un_0079 1/1,620,0.179,19.48
TC_Amb, H10,Assay,Unknown,Un_0080 1/1,620,0.178,20.02
TC_Amb, A11,Assay,Unknown,Un_0081 1/1,620,0.167,15.19
TC_Amb, B11,Assay,Unknown,Un_0082 1/1,620,0.14,15.69
TC_Amb, C11,Assay,Unknown,Un_0083 1/1,620,0.114,16.63
TC_Amb, D11,Assay,Unknown,Un_0084 1/1,620,0.174,17.13
TC_Amb, E11,Assay,Unknown,Un_0085 1/1,620,0.073,18.06
TC_Amb, F11,Assay,Unknown,Un_0086 1/1,620,0.069,18.56
TC_Amb, G11,Assay,Unknown,Un_0087 1/1,620,0.08,19.5
