Well,Carbon,Replicate
A01,Glucose,1
A02,Maltose,1
A03,Lactose,1
A04,Melibiose,1
A05,Galactose,1
A06,Sucrose,1
A07,Fructose,1
A08,Manose,1
A09,Ribose,1
A10,L-Arabinose,1
A11,Manitol,1
A12,Sorbitol,1
B01,Glucose,2
B02,Maltose,2
B03,Lactose,2
B04,Melibiose,2
B05,Galactose,2
B06,Sucrose,2
B07,Fructose,2
B08,Manose,2
B09,Ribose,2
B10,L-Arabinose,2
B11,Manitol,2
B12,Sorbitol,2
C01,Glucose,3
C02,Maltose,3
C03,Lactose,3
C04,Melibiose,3
C05,Galactose,3
C06,Sucrose,3
C07,Fructose,3
C08,Manose,3
C09,Ribose,3
C10,L-Arabinose,3
C11,Manitol,3
C12,Sorbitol,3
D01,Glucose,4
D02,Maltose,4
D03,Lactose,4
D04,Melibiose,4
D05,Galactose,4
D06,Sucrose,4
D07,Fructose,4
D08,Manose,4
D09,Ribose,4
D10,L-Arabinose,4
D11,Manitol,4
D12,Sorbitol,4
E01,Galacticol,1
E02,Glycerol,1
E03,Fucose,1
E04,Rhamnose,1
E05,Oxoglutarate,1
E06,Pyruvate,1
E07,Oxaloacetate,1
E08,Fumarate,1
E09,Succinate,1
E10,Citrate ,1
E11,Acetate,1
E12,Water,1
F01,Galacticol,2
F02,Glycerol,2
F03,Fucose,2
F04,Rhamnose,2
F05,Oxoglutarate,2
F06,Pyruvate,2
F07,Oxaloacetate,2
F08,Fumarate,2
F09,Succinate,2
F10,Citrate ,2
F11,Acetate,2
F12,Water,2
G01,Galacticol,3
G02,Glycerol,3
G03,Fucose,3
G04,Rhamnose,3
G05,Oxoglutarate,3
G06,Pyruvate,3
G07,Oxaloacetate,3
G08,Fumarate,3
G09,Succinate,3
G10,Citrate ,3
G11,Acetate,3
G12,Water,3
H01,Galacticol,4
H02,Glycerol,4
H03,Fucose,4
H04,Rhamnose,4
H05,Oxoglutarate,4
H06,Pyruvate,4
H07,Oxaloacetate,4
H08,Fumarate,4
H09,Succinate,4
H10,Citrate ,4
H11,Acetate,4
H12,Water,4
